Temporada,Jornada,Equipo,Jugador,Estado,Cambio,Gol,Amarilla,Roja,Asistencia,Lesion
Temporada2018,Jornada 28,Bayern München,S. Ulreich,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,M. Hummels,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,J. Boateng,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,D. Alaba,Titular,46,0,0,0,1,0
Temporada2018,Jornada 28,Bayern München,Rafinha,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,J. Martínez,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,James,Titular,65,1,0,0,2,0
Temporada2018,Jornada 28,Bayern München,T. Müller,Titular,,1,0,0,1,0
Temporada2018,Jornada 28,Bayern München,F. Ribéry,Titular,69,1,1,0,1,0
Temporada2018,Jornada 28,Bayern München,R. Lewandowski,Titular,,3,0,0,0,0
Temporada2018,Jornada 28,Bayern München,A. Robben,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,T. Starke,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,J. Kimmich,Suplente,46,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,N. Süle,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,Thiago,Suplente,65,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,S. Rudy,Suplente,69,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,C. Tolisso,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,Bayern München,S. Wagner,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,R. Burki,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,M. Akanji,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,Sokratis,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,M. Schmelzer,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,Ł. Piszczek,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,G. Castro,Titular,29,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,M. Dahoud,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,M. Götze,Titular,78,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,A. Schürrle,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,C. Pulisic,Titular,74,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,M. Batshuayi,Titular,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,R. Weidenfeller,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,J. Toljan,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,S. Gómez,Suplente,,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,N. Sahin,Suplente,78,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,J. Weigl,Suplente,29,0,1,0,0,0
Temporada2018,Jornada 28,B. Dortmund,M. Philipp,Suplente,74,0,0,0,0,0
Temporada2018,Jornada 28,B. Dortmund,A. Isak,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,S. Ulreich,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,M. Hummels,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,J. Boateng,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,D. Alaba,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,J. Kimmich,Titular,84,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,S. Rudy,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,J. Martínez,Titular,,0,0,0,1,0
Temporada2018,Jornada 10,Bayern München,Thiago,Titular,,0,1,0,0,0
Temporada2018,Jornada 10,Bayern München,James,Titular,,1,0,0,0,0
Temporada2018,Jornada 10,Bayern München,A. Robben,Titular,86,0,0,0,1,0
Temporada2018,Jornada 10,Bayern München,R. Lewandowski,Titular,45,1,0,0,0,0
Temporada2018,Jornada 10,Bayern München,T. Starke,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,N. Süle,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,Rafinha,Suplente,84,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,K. Okyere Wriedt,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,A. Vidal,Suplente,45,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,F. Götze,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,Bayern München,C. Tolisso,Suplente,86,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,P. Gulácsi,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,D. Upamecano,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,W. Orban,Titular,,0,0,1,0,0
Temporada2018,Jornada 10,RB Leipzig,M. Halstenberg,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,L. Klostermann,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,D. Demme,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,N. Keïta,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,E. Forsberg,Titular,62,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,M. Sabitzer,Titular,46,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,T. Werner,Titular,22,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,Y. Poulsen,Titular,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,Y. Mvogo,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,Bernardo,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,I. Konate,Suplente,22,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,K. Kampl,Suplente,,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,K. Laimer,Suplente,62,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,Bruma,Suplente,46,0,0,0,0,0
Temporada2018,Jornada 10,RB Leipzig,J. Augustin,Suplente,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,S. Ulreich,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,M. Hummels,Titular,,0,1,0,0,0
Temporada2018,Jornada 30,Bayern München,N. Süle,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,D. Alaba,Titular,73,1,0,0,0,0
Temporada2018,Jornada 30,Bayern München,J. Kimmich,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,J. Bernat,Titular,,0,1,0,0,0
Temporada2018,Jornada 30,Bayern München,S. Rudy,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,Thiago,Titular,,1,0,0,0,0
Temporada2018,Jornada 30,Bayern München,C. Tolisso,Titular,,0,0,0,1,0
Temporada2018,Jornada 30,Bayern München,S. Wagner,Titular,70,2,0,0,0,0
Temporada2018,Jornada 30,Bayern München,T. Müller,Titular,46,0,0,0,2,0
Temporada2018,Jornada 30,Bayern München,T. Starke,Suplente,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,Rafinha,Suplente,73,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,J. Martínez,Suplente,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,James,Suplente,46,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,A. Robben,Suplente,,0,0,0,0,0
Temporada2018,Jornada 30,Bayern München,R. Lewandowski,Suplente,70,1,0,0,0,0
Temporada2018,Jornada 30,Bayern München,F. Ribéry,Suplente,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,Y. Sommer,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,J. Vestergaard,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,M. Ginter,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,O. Wendt,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,N. Elvedi,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,C. Kramer,Titular,,0,1,0,0,0
Temporada2018,Jornada 30,Monchengladbach,D. Zakaria,Titular,82,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,J. Hofmann,Titular,65,0,0,0,1,0
Temporada2018,Jornada 30,Monchengladbach,T. Hazard,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,Raffael,Titular,,0,0,0,0,0
Temporada2018,Jornada 30,Monchengladbach,J. Drmić,Titular,65,1,0,0,0,0
