Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Bundesliga,Temporada2020,Jornada 1,B. Dortmund,1,3,5,1,LOCAL,5 - 1,5 ,3,0,0,0,1,0,1,0,1,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,FC Augsburg,,,28,78,183,0
Bundesliga,Temporada2020,Jornada 1,RB Leipzig,2,3,4,0,VISITANTE,0 - 4, 4,3,0,0,0,0,0,1,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Union Berlin,,,25,77,185,0
Bundesliga,Temporada2020,Jornada 1,SC Freiburg,3,3,3,0,LOCAL,3 - 0,3 ,3,0,0,0,0,0,0,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Mainz 05,,,26,79,184,0
Bundesliga,Temporada2020,Jornada 1,Fortuna,4,3,3,1,VISITANTE,1 - 3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Werder Bremen,,,,,,0
Bundesliga,Temporada2020,Jornada 1,B. Leverkusen,5,3,3,2,LOCAL,3 - 2,3 ,3,0,0,0,1,0,1,0,1,0,65,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Paderborn,,,27,75,182,0
Bundesliga,Temporada2020,Jornada 1,Wolfsburg,6,3,2,1,LOCAL,2 - 1,2 ,3,0,0,0,1,0,0,0,2,0,81,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,Köln,,,26,77,184,0
Bundesliga,Temporada2020,Jornada 1,Eintracht,7,3,1,0,LOCAL,1 - 0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Hoffenheim,,,,,,0
Bundesliga,Temporada2020,Jornada 1,Bayern München,8,1,2,2,LOCAL,2 - 2,2 ,2,0,0,0,0,0,0,0,2,0,86,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Hertha BSC,,,27,75,182,0
Bundesliga,Temporada2020,Jornada 1,Hertha BSC,9,1,2,2,VISITANTE,2 - 2, 2,3,0,0,0,0,0,0,0,2,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,Bayern München,,,27,74,183,0
Bundesliga,Temporada2020,Jornada 1,Monchengladbach,10,1,0,0,LOCAL,0 - 0,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Schalke 04,,,,,,0
Bundesliga,Temporada2020,Jornada 1,Schalke 04,11,1,0,0,VISITANTE,0 - 0, 0,3,0,0,0,0,0,2,0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Monchengladbach,,,26,76,182,0
Bundesliga,Temporada2020,Jornada 1,Paderborn,12,0,2,3,VISITANTE,3 - 2, 2,3,0,0,0,1,0,0,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B. Leverkusen,,,27,76,180,0
Bundesliga,Temporada2020,Jornada 1,Köln,13,0,1,2,VISITANTE,2 - 1, 1,3,0,0,0,0,0,2,0,1,0,62,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Wolfsburg,,,27,75,183,0
Bundesliga,Temporada2020,Jornada 1,Hoffenheim,14,0,0,1,VISITANTE,1 - 0, 0,3,0,0,0,0,0,1,0,1,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Eintracht,,,26,73,180,0
Bundesliga,Temporada2020,Jornada 1,Werder Bremen,15,0,1,3,LOCAL,1 - 3,1 ,3,0,0,0,2,0,0,0,1,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Fortuna,,,27,74,182,0
Bundesliga,Temporada2020,Jornada 1,Mainz 05,16,0,0,3,VISITANTE,3 - 0, 0,3,0,0,0,1,0,2,0,0,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,SC Freiburg,,,25,73,182,0
Bundesliga,Temporada2020,Jornada 1,FC Augsburg,17,0,1,5,VISITANTE,5 - 1, 1,3,0,0,0,0,0,1,0,1,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B. Dortmund,,,28,76,182,0
