Temporada,Jornada,Equipo,Jugador,Estado,Cambio,Gol,Amarilla,Roja,Asistencia,Lesion
Temporada2019,Jornada 28,Bayern München,M. Neuer,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,M. Hummels,Titular,,1,0,0,0,0
Temporada2019,Jornada 28,Bayern München,N. Süle,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,D. Alaba,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,J. Kimmich,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,J. Martínez,Titular,77,1,0,0,0,0
Temporada2019,Jornada 28,Bayern München,Thiago,Titular,,0,0,0,1,0
Temporada2019,Jornada 28,Bayern München,T. Müller,Titular,80,0,0,0,1,0
Temporada2019,Jornada 28,Bayern München,K. Coman,Titular,68,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,S. Gnabry,Titular,,1,0,0,1,0
Temporada2019,Jornada 28,Bayern München,R. Lewandowski,Titular,,2,1,0,0,0
Temporada2019,Jornada 28,Bayern München,S. Ulreich,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,J. Boateng,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,Renato Sanches,Suplente,80,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,James,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,L. Goretzka,Suplente,77,0,0,0,0,0
Temporada2019,Jornada 28,Bayern München,F. Ribéry,Suplente,68,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,R. Burki,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,D. Zagadou,Titular,46,0,1,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Akanji,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,A. Diallo,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,Ł. Piszczek,Titular,69,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,A. Witsel,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Dahoud,Titular,62,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,T. Delaney,Titular,,0,1,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Reus,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,J. Sancho,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,Bruun Larsen,Titular,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Hitz,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,O. Toprak,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Schmelzer,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Götze,Suplente,62,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,J. Weigl,Suplente,46,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Philipp,Suplente,,0,0,0,0,0
Temporada2019,Jornada 28,B. Dortmund,M. Wolf,Suplente,69,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,M. Neuer,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,M. Hummels,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,N. Süle,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,D. Alaba,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,J. Kimmich,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,Thiago,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,L. Goretzka,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,T. Müller,Titular,90,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,K. Coman,Titular,61,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,S. Gnabry,Titular,28,0,0,0,0,1
Temporada2019,Jornada 16,Bayern München,R. Lewandowski,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,S. Ulreich,Suplente,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,L. Mai,Suplente,,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,Renato Sanches,Suplente,61,0,2,1,1,0
Temporada2019,Jornada 16,Bayern München,J. Martínez,Suplente,90,0,0,0,0,0
Temporada2019,Jornada 16,Bayern München,F. Ribéry,Suplente,28,1,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,P. Gulácsi,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,D. Upamecano,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,I. Konate,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,M. Halstenberg,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,L. Klostermann,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,K. Kampl,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,D. Demme,Titular,,0,1,0,0,0
Temporada2019,Jornada 16,RB Leipzig,K. Laimer,Titular,87,0,1,0,0,0
Temporada2019,Jornada 16,RB Leipzig,Bruma,Titular,81,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,T. Werner,Titular,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,Y. Poulsen,Titular,88,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,M. Müller,Suplente,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,W. Orban,Suplente,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,N. Mukiele,Suplente,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,E. Majetschak,Suplente,,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,S. Ilsanker,Suplente,81,0,0,1,0,0
Temporada2019,Jornada 16,RB Leipzig,J. Augustin,Suplente,88,0,0,0,0,0
Temporada2019,Jornada 16,RB Leipzig,Matheus Cunha,Suplente,87,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,M. Neuer,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,M. Hummels,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,N. Süle,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,D. Alaba,Titular,55,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,J. Kimmich,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,Thiago,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,L. Goretzka,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,James,Titular,,0,1,0,0,0
Temporada2019,Jornada 7,Bayern München,T. Müller,Titular,46,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,A. Robben,Titular,46,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,R. Lewandowski,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,S. Ulreich,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,J. Meier,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,Renato Sanches,Suplente,55,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,J. Martínez,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,S. Gnabry,Suplente,46,0,0,0,0,0
Temporada2019,Jornada 7,Bayern München,F. Ribéry,Suplente,46,0,1,0,0,0
Temporada2019,Jornada 7,Monchengladbach,Y. Sommer,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,N. Elvedi,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,M. Ginter,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,O. Wendt,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,M. Lang,Titular,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,C. Kramer,Titular,,0,0,0,1,0
Temporada2019,Jornada 7,Monchengladbach,F. Neuhaus,Titular,74,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,J. Hofmann,Titular,,0,1,0,2,0
Temporada2019,Jornada 7,Monchengladbach,T. Hazard,Titular,83,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,A. Plea,Titular,,1,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,L. Stindl,Titular,66,1,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,T. Sippel,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,T. Jantschke,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,D. Zakaria,Suplente,66,0,1,0,0,0
Temporada2019,Jornada 7,Monchengladbach,T. Strobl,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,M. Cuisance,Suplente,,0,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,P. Herrmann,Suplente,74,1,0,0,0,0
Temporada2019,Jornada 7,Monchengladbach,I. Traoré,Suplente,83,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,M. Neuer,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,J. Boateng,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,N. Süle,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,Rafinha,Titular,82,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,J. Kimmich,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,C. Tolisso,Titular,42,1,0,0,0,0
Temporada2019,Jornada 3,Bayern München,Thiago,Titular,,0,0,0,1,0
Temporada2019,Jornada 3,Bayern München,T. Müller,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,S. Gnabry,Titular,59,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,A. Robben,Titular,,1,0,0,0,0
Temporada2019,Jornada 3,Bayern München,R. Lewandowski,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,S. Ulreich,Suplente,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,D. Alaba,Suplente,82,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,James,Suplente,42,1,0,0,0,0
Temporada2019,Jornada 3,Bayern München,Renato Sanches,Suplente,,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,J. Martínez,Suplente,59,0,0,0,0,0
Temporada2019,Jornada 3,Bayern München,F. Ribéry,Suplente,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,L. Hradecky,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,J. Tah,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,A. Dragović,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,S. Bender,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,T. Jedvaj,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,Wendell,Titular,,1,1,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,L. Bender,Titular,28,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,K. Havertz,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,D. Kohr,Titular,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,L. Bailey,Titular,83,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,K. Volland,Titular,73,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,R. Özcan,Suplente,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,M. Weiser,Suplente,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,I. Kiese Thelin,Suplente,,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,K. Bellarabi,Suplente,73,0,0,1,0,0
Temporada2019,Jornada 3,B. Leverkusen,Paulinho,Suplente,83,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,J. Brandt,Suplente,28,0,0,0,0,0
Temporada2019,Jornada 3,B. Leverkusen,L. Alario,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,S. Ulreich,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,M. Hummels,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,J. Boateng,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,D. Alaba,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,J. Kimmich,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,Thiago,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,James,Titular,78,0,0,0,1,0
Temporada2019,Jornada 21,Bayern München,L. Goretzka,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,K. Coman,Titular,68,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,R. Lewandowski,Titular,,1,1,0,1,0
Temporada2019,Jornada 21,Bayern München,S. Gnabry,Titular,89,1,0,0,0,0
Temporada2019,Jornada 21,Bayern München,C. Früchtl,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,A. Davies,Suplente,89,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,N. Süle,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,J. Martínez,Suplente,78,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,T. Müller,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Bayern München,F. Ribéry,Suplente,68,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,R. Fährmann,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,J. Bruma,Titular,,1,1,0,0,0
Temporada2019,Jornada 21,Schalke 04,S. Sane,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,B. Oczipka,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,D. Caligiuri,Titular,,0,1,0,0,0
Temporada2019,Jornada 21,Schalke 04,S. Rudy,Titular,33,0,0,0,0,1
Temporada2019,Jornada 21,Schalke 04,W. Mckennie,Titular,,0,0,0,1,0
Temporada2019,Jornada 21,Schalke 04,N. Bentaleb,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,S. Serdar,Titular,54,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,Y. Konoplyanka,Titular,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,A. Kutucu,Titular,73,1,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,Michael Langer,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,M. Nastasić,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,H. Mendyl,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,A. Harit,Suplente,54,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,O. Mascarell,Suplente,33,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,R. Matondo,Suplente,,0,0,0,0,0
Temporada2019,Jornada 21,Schalke 04,M. Uth,Suplente,73,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,M. Neuer,Titular,,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,M. Hummels,Titular,,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,J. Boateng,Titular,,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,Rafinha,Titular,,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,J. Kimmich,Titular,,1,0,0,0,0
Temporada2019,Jornada 25,Bayern München,Thiago,Titular,,0,0,0,1,0
Temporada2019,Jornada 25,Bayern München,J. Martínez,Titular,54,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,James,Titular,74,1,0,0,0,0
Temporada2019,Jornada 25,Bayern München,S. Gnabry,Titular,55,1,0,0,1,0
Temporada2019,Jornada 25,Bayern München,T. Müller,Titular,,1,0,0,0,0
Temporada2019,Jornada 25,Bayern München,R. Lewandowski,Titular,,2,0,0,0,0
Temporada2019,Jornada 25,Bayern München,L. Goretzka,Suplente,54,0,0,0,0,0
Temporada2019,Jornada 25,Bayern München,F. Ribéry,Suplente,55,0,0,0,3,0
Temporada2019,Jornada 25,Bayern München,Renato Sanches,Suplente,74,0,0,0,0,0
