copa_temporada,copa_fecha,copa_local,copa_visitante,copa_resultado
Temporada2020,10 Ago 19,Würzburger Kickers,Hoffenheim,3 - 3
Temporada2020,11 Ago 19,Salmrohr,Holstein Kiel,0 - 6
Temporada2020,11 Ago 19,Germania Halberstadt,Union Berlin,0 - 6
Temporada2020,10 Ago 19,Kaiserslautern,Mainz 05,2 - 0
Temporada2020,11 Ago 19,Rödinghausen,Paderborn,3 - 3
Temporada2020,12 Ago 19,Hallescher FC,Wolfsburg,3 - 5
Temporada2020,10 Ago 19,Atlas Delmenhorst,Werder Bremen,1 - 6
Temporada2020,09 Ago 19,KFC Uerdingen 05,B. Dortmund,0 - 2
Temporada2020,09 Ago 19,Sandhausen,Monchengladbach,0 - 1
Temporada2020,11 Ago 19,Chemnitzer,Hamburguer SV,2 - 2
Temporada2020,11 Ago 19,Waldhof Mannheim,Eintracht,3 - 5
Temporada2020,10 Ago 19,Alemannia Aachen,B. Leverkusen,1 - 4
Temporada2020,10 Ago 19,Dassendorf,Dynamo Dresden,0 - 3
Temporada2020,10 Ago 19,Villingen,Fortuna,1 - 3
Temporada2020,10 Ago 19,KSV Baunatal,VfL Bochum,2 - 3
Temporada2020,12 Ago 19,Energie Cottbus,Bayern München,1 - 3
Temporada2020,12 Ago 19,Karlsruher SC,Hannover 96,2 - 0
Temporada2020,11 Ago 19,MSV Duisburg,Greuther Fürth,2 - 0
Temporada2020,11 Ago 19,Oberneuland,Darmstadt 98,1 - 6
Temporada2020,11 Ago 19,Wehen Wiesbaden,Köln,3 - 3
Temporada2020,12 Ago 19,Hansa Rostock,Stuttgart,0 - 1
Temporada2020,11 Ago 19,Saarbrücken,Jahn Regensburg,3 - 2
Temporada2020,10 Ago 19,Drochtersen / Assel,Schalke 04,0 - 5
Temporada2020,10 Ago 19,Viktoria Berlin,Arminia Bielefeld,0 - 1
Temporada2020,09 Ago 19,Ingolstadt 04,Nürnberg,0 - 1
Temporada2020,10 Ago 19,Verl,FC Augsburg,2 - 1
Temporada2020,11 Ago 19,VfB Lübeck,FC St. Pauli,3 - 3
Temporada2020,11 Ago 19,Eichstätt,Hertha BSC,1 - 5
Temporada2020,10 Ago 19,Wacker Nordhausen,Erzgebirge Aue,1 - 4
Temporada2020,11 Ago 19,VfL Osnabrück,RB Leipzig,2 - 3
Temporada2020,10 Ago 19,Magdeburg,SC Freiburg,0 - 1
Temporada2020,10 Ago 19,Ulm,Heidenheim,0 - 2
Temporada2020,30 Oct 19,Kaiserslautern,Nürnberg,2 - 2
Temporada2020,30 Oct 19,Verl,Holstein Kiel,1 - 1
Temporada2020,29 Oct 19,MSV Duisburg,Hoffenheim,0 - 2
Temporada2020,29 Oct 19,Saarbrücken,Köln,3 - 2
Temporada2020,29 Oct 19,Darmstadt 98,Karlsruher SC,0 - 1
Temporada2020,29 Oct 19,B. Leverkusen,Paderborn,1 - 0
