clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 1,1,B. Dortmund,3,1,1,0,0,5,1
Temporada2020,Jornada 1,2,RB Leipzig,3,1,1,0,0,4,0
Temporada2020,Jornada 1,3,SC Freiburg,3,1,1,0,0,3,0
Temporada2020,Jornada 1,4,Fortuna,3,1,1,0,0,3,1
Temporada2020,Jornada 1,5,B. Leverkusen,3,1,1,0,0,3,2
Temporada2020,Jornada 1,6,Wolfsburg,3,1,1,0,0,2,1
Temporada2020,Jornada 1,7,Eintracht,3,1,1,0,0,1,0
Temporada2020,Jornada 1,8,Bayern München,1,1,0,1,0,2,2
Temporada2020,Jornada 1,9,Hertha BSC,1,1,0,1,0,2,2
Temporada2020,Jornada 1,10,Monchengladbach,1,1,0,1,0,0,0
Temporada2020,Jornada 1,11,Schalke 04,1,1,0,1,0,0,0
Temporada2020,Jornada 1,12,Paderborn,0,1,0,0,1,2,3
Temporada2020,Jornada 1,13,Köln,0,1,0,0,1,1,2
Temporada2020,Jornada 1,14,Hoffenheim,0,1,0,0,1,0,1
Temporada2020,Jornada 1,15,Werder Bremen,0,1,0,0,1,1,3
Temporada2020,Jornada 1,16,Mainz 05,0,1,0,0,1,0,3
Temporada2020,Jornada 1,17,FC Augsburg,0,1,0,0,1,1,5
Temporada2020,Jornada 1,18,Union Berlin,0,1,0,0,1,0,4
Temporada2020,Jornada 2,1,B. Dortmund,6,2,2,0,0,8,2
Temporada2020,Jornada 2,2,RB Leipzig,6,2,2,0,0,6,1
Temporada2020,Jornada 2,3,SC Freiburg,6,2,2,0,0,6,1
Temporada2020,Jornada 2,4,Wolfsburg,6,2,2,0,0,5,1
Temporada2020,Jornada 2,5,B. Leverkusen,6,2,2,0,0,6,3
Temporada2020,Jornada 2,6,Bayern München,4,2,1,1,0,5,2
Temporada2020,Jornada 2,7,Monchengladbach,4,2,1,1,0,3,1
Temporada2020,Jornada 2,8,Fortuna,3,2,1,0,1,4,4
Temporada2020,Jornada 2,9,Hoffenheim,3,2,1,0,1,3,3
Temporada2020,Jornada 2,10,Eintracht,3,2,1,0,1,2,2
Temporada2020,Jornada 2,11,Hertha BSC,1,2,0,1,1,2,5
Temporada2020,Jornada 2,12,Schalke 04,1,2,0,1,1,0,3
Temporada2020,Jornada 2,13,FC Augsburg,1,2,0,1,1,2,6
Temporada2020,Jornada 2,14,Union Berlin,1,2,0,1,1,1,5
Temporada2020,Jornada 2,15,Werder Bremen,0,2,0,0,2,3,6
Temporada2020,Jornada 2,16,Paderborn,0,2,0,0,2,3,6
Temporada2020,Jornada 2,17,Köln,0,2,0,0,2,2,5
Temporada2020,Jornada 2,18,Mainz 05,0,2,0,0,2,1,6
Temporada2020,Jornada 3,1,RB Leipzig,9,3,3,0,0,9,2
Temporada2020,Jornada 3,2,Bayern München,7,3,2,1,0,11,3
Temporada2020,Jornada 3,3,Wolfsburg,7,3,2,1,0,6,2
Temporada2020,Jornada 3,4,B. Leverkusen,7,3,2,1,0,6,3
Temporada2020,Jornada 3,5,B. Dortmund,6,3,2,0,1,9,5
Temporada2020,Jornada 3,6,SC Freiburg,6,3,2,0,1,7,3
Temporada2020,Jornada 3,7,Eintracht,6,3,2,0,1,4,3
Temporada2020,Jornada 3,8,Monchengladbach,4,3,1,1,1,4,4
Temporada2020,Jornada 3,9,Schalke 04,4,3,1,1,1,3,3
Temporada2020,Jornada 3,10,Hoffenheim,4,3,1,1,1,3,3
Temporada2020,Jornada 3,11,Union Berlin,4,3,1,1,1,4,6
Temporada2020,Jornada 3,12,Fortuna,3,3,1,0,2,5,6
Temporada2020,Jornada 3,13,Werder Bremen,3,3,1,0,2,6,8
Temporada2020,Jornada 3,14,Köln,3,3,1,0,2,4,6
Temporada2020,Jornada 3,15,Paderborn,1,3,0,1,2,4,7
Temporada2020,Jornada 3,16,FC Augsburg,1,3,0,1,2,4,9
Temporada2020,Jornada 3,17,Hertha BSC,1,3,0,1,2,2,8
Temporada2020,Jornada 3,18,Mainz 05,0,3,0,0,3,2,12
Temporada2020,Jornada 4,1,RB Leipzig,10,4,3,1,0,10,3
Temporada2020,Jornada 4,2,B. Dortmund,9,4,3,0,1,13,5
Temporada2020,Jornada 4,3,SC Freiburg,9,4,3,0,1,10,3
Temporada2020,Jornada 4,4,Bayern München,8,4,2,2,0,12,4
Temporada2020,Jornada 4,5,Wolfsburg,8,4,2,2,0,7,3
Temporada2020,Jornada 4,6,Schalke 04,7,4,2,1,1,8,4
Temporada2020,Jornada 4,7,Monchengladbach,7,4,2,1,1,5,4
Temporada2020,Jornada 4,8,B. Leverkusen,7,4,2,1,1,6,7
