plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2020,Bayern München,36,https://thumb.resfu.com/img_data/players/medium/286258.jpg?size=60x&5,C. Früchtl,Portero,20,https://thumb.resfu.com/media/img/1px.gif,193,71,0,0,0
Temporada2020,Bayern München,1,https://thumb.resfu.com/img_data/players/medium/1819.jpg?size=60x&5,M. Neuer,Portero,34,https://thumb.resfu.com/media/img/1px.gif,192,90,0,0,0
Temporada2020,Bayern München,39,https://thumb.resfu.com/img_data/players/medium/291873.jpg?size=60x&5,R. Hoffmann,Portero,21,https://thumb.resfu.com/media/img/1px.gif,192,84,0,0,0
Temporada2020,Bayern München,26,https://thumb.resfu.com/img_data/players/medium/1836.jpg?size=60x&5,S. Ulreich,Portero,31,https://thumb.resfu.com/media/img/1px.gif,192,84,0,0,1
Temporada2020,Bayern München,19,https://thumb.resfu.com/img_data/players/medium/326966.jpg?size=60x&5,A. Davies,Defensa,19,https://thumb.resfu.com/media/img/1px.gif,178,72,3,1,4
Temporada2020,Bayern München,2,https://thumb.resfu.com/img_data/players/medium/190177.jpg?size=60x&5,Á. Odriozola,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,178,74,0,0,0
Temporada2020,Bayern München,5,https://thumb.resfu.com/img_data/players/medium/247439.jpg?size=60x&5,B. Pavard,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,187,73,4,0,5
Temporada2020,Bayern München,41,https://thumb.resfu.com/img_data/players/medium/695635.jpg?size=60x&5,C. Richards,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,188,-,0,0,0
Temporada2020,Bayern München,27,https://thumb.resfu.com/img_data/players/medium/58931.jpg?size=60x&5,D. Alaba,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,180,76,1,0,0
Temporada2020,Bayern München,17,https://thumb.resfu.com/img_data/players/medium/1855.jpg?size=60x&5,J. Boateng,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,192,90,0,1,5
