TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 1,LOCAL,Roma,Genoa,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Roma,Genoa,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Cagliari,Brescia,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Cagliari,Brescia,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Fiorentina,Napoli,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Fiorentina,Napoli,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Inter,Lecce,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Inter,Lecce,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Parma,Juventus,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Parma,Juventus,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Sampdoria,Lazio,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Sampdoria,Lazio,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,SPAL,Atalanta,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,SPAL,Atalanta,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Torino,Sassuolo,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Torino,Sassuolo,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Udinese,Milan,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Udinese,Milan,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Hellas Verona,Bologna,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Hellas Verona,Bologna,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 2,LOCAL,Milan,Brescia,GANADO,11,3,0,0,0,2,1,6
Temporada2020,Jornada 2,VISITANTE,Milan,Brescia,PERDIDO,-11,1,3,0,0,0,1,6
Temporada2020,Jornada 2,LOCAL,Atalanta,Torino,PERDIDO,-1,2,4,0,1,1,1,7
Temporada2020,Jornada 2,VISITANTE,Atalanta,Torino,GANADO,1,4,4,0,2,1,1,7
Temporada2020,Jornada 2,LOCAL,Bologna,SPAL,GANADO,-3,2,-4,0,1,0,1,5
Temporada2020,Jornada 2,VISITANTE,Bologna,SPAL,PERDIDO,3,0,0,0,0,0,0,5
Temporada2020,Jornada 2,LOCAL,Cagliari,Inter,PERDIDO,15,5,3,1,2,1,1,7
Temporada2020,Jornada 2,VISITANTE,Cagliari,Inter,GANADO,-15,0,0,0,0,0,0,6
Temporada2020,Jornada 2,LOCAL,Genoa,Fiorentina,GANADO,-4,0,1,0,0,0,0,7
Temporada2020,Jornada 2,VISITANTE,Genoa,Fiorentina,PERDIDO,4,2,2,0,1,0,1,8
Temporada2020,Jornada 2,LOCAL,Juventus,Napoli,GANADO,4,1,-2,0,1,0,0,7
Temporada2020,Jornada 2,VISITANTE,Juventus,Napoli,PERDIDO,-4,1,-1,0,1,0,0,7
Temporada2020,Jornada 2,LOCAL,Lazio,Roma,EMPATADO,-8,1,-2,0,0,1,0,7
Temporada2020,Jornada 2,VISITANTE,Lazio,Roma,EMPATADO,8,1,0,0,1,0,0,7
Temporada2020,Jornada 2,LOCAL,Lecce,Hellas Verona,PERDIDO,8,4,6,0,2,2,0,6
Temporada2020,Jornada 2,VISITANTE,Lecce,Hellas Verona,GANADO,-8,2,0,0,1,1,0,7
Temporada2020,Jornada 2,LOCAL,Sassuolo,Sampdoria,GANADO,-4,4,3,0,2,1,1,7
Temporada2020,Jornada 2,VISITANTE,Sassuolo,Sampdoria,PERDIDO,4,3,0,0,0,3,2,7
Temporada2020,Jornada 2,LOCAL,Udinese,Parma,PERDIDO,-10,3,1,0,2,1,2,7
Temporada2020,Jornada 2,VISITANTE,Udinese,Parma,GANADO,10,1,-1,0,0,1,0,8
Temporada2020,Jornada 3,LOCAL,Roma,Sassuolo,GANADO,7,2,0,0,0,2,1,14
Temporada2020,Jornada 3,VISITANTE,Roma,Sassuolo,PERDIDO,-7,2,1,0,1,1,1,14
Temporada2020,Jornada 3,LOCAL,Brescia,Bologna,PERDIDO,6,3,4,0,2,1,1,15
Temporada2020,Jornada 3,VISITANTE,Brescia,Bologna,GANADO,-6,3,-2,0,2,1,1,16
Temporada2020,Jornada 3,LOCAL,Fiorentina,Juventus,EMPATADO,14,3,2,0,0,0,1,13
Temporada2020,Jornada 3,VISITANTE,Fiorentina,Juventus,EMPATADO,-14,1,-2,0,2,0,0,14
Temporada2020,Jornada 3,LOCAL,Genoa,Atalanta,PERDIDO,-6,0,0,0,0,0,0,14
Temporada2020,Jornada 3,VISITANTE,Genoa,Atalanta,GANADO,6,1,2,0,0,1,0,14
Temporada2020,Jornada 3,LOCAL,Inter,Udinese,GANADO,-13,4,2,0,2,1,1,13
Temporada2020,Jornada 3,VISITANTE,Inter,Udinese,PERDIDO,13,4,3,0,2,2,1,13
Temporada2020,Jornada 3,LOCAL,Napoli,Sampdoria,GANADO,-10,4,2,0,2,1,1,14
Temporada2020,Jornada 3,VISITANTE,Napoli,Sampdoria,PERDIDO,10,5,-1,0,2,4,2,13
Temporada2020,Jornada 3,LOCAL,Parma,Cagliari,PERDIDO,-9,2,1,0,1,1,0,14
Temporada2020,Jornada 3,VISITANTE,Parma,Cagliari,GANADO,9,4,2,0,1,2,1,14
Temporada2020,Jornada 3,LOCAL,SPAL,Lazio,GANADO,13,3,2,0,2,1,0,16
Temporada2020,Jornada 3,VISITANTE,SPAL,Lazio,PERDIDO,-13,3,0,0,1,1,1,14
Temporada2020,Jornada 3,LOCAL,Torino,Lecce,PERDIDO,-16,0,3,0,0,0,0,15
Temporada2020,Jornada 3,VISITANTE,Torino,Lecce,GANADO,16,4,4,0,2,2,1,15
Temporada2020,Jornada 3,LOCAL,Hellas Verona,Milan,PERDIDO,-6,2,0,0,0,1,1,14
Temporada2020,Jornada 3,VISITANTE,Hellas Verona,Milan,GANADO,6,3,1,0,0,2,1,15
Temporada2020,Jornada 4,LOCAL,Milan,Inter,PERDIDO,6,2,-1,0,1,1,1,6
Temporada2020,Jornada 4,VISITANTE,Milan,Inter,GANADO,-6,2,-1,0,1,1,1,4
Temporada2020,Jornada 4,LOCAL,Atalanta,Fiorentina,EMPATADO,-14,5,5,0,2,2,2,4
Temporada2020,Jornada 4,VISITANTE,Atalanta,Fiorentina,EMPATADO,14,0,0,0,2,0,0,8
