Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Serie A,Temporada2020,Jornada 1,Inter,1,3,4,0,LOCAL,4 - 0,4 ,3,0,0,0,0,0,2,0,1,0,72,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,,,Lecce,,,28,77,183,0
Serie A,Temporada2020,Jornada 1,Lazio,2,3,3,0,VISITANTE,0 - 3, 3,3,0,0,0,1,0,2,0,0,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Sampdoria,,,28,75,185,0
Serie A,Temporada2020,Jornada 1,Napoli,3,3,4,3,VISITANTE,3 - 4, 4,3,0,0,0,1,0,1,0,1,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,,,Fiorentina,,,28,71,179,0
Serie A,Temporada2020,Jornada 1,Atalanta,4,3,3,2,VISITANTE,2 - 3, 3,3,0,0,0,0,0,1,0,1,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,SPAL,,,27,77,183,0
Serie A,Temporada2020,Jornada 1,Torino,5,3,2,1,LOCAL,2 - 1,2 ,3,0,0,0,1,0,1,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,,,Sassuolo,,,28,77,183,0
Serie A,Temporada2020,Jornada 1,Brescia,6,3,1,0,VISITANTE,0 - 1, 1,2,0,0,0,0,0,1,0,1,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Cagliari,,,26,74,183,0
Serie A,Temporada2020,Jornada 1,Juventus,7,3,1,0,VISITANTE,0 - 1, 1,3,0,0,0,0,0,1,0,2,0,72,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Parma,,,31,74,184,0
Serie A,Temporada2020,Jornada 1,Udinese,8,3,1,0,LOCAL,1 - 0,1 ,3,0,0,0,0,0,1,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Milan,,,26,80,186,0
Serie A,Temporada2020,Jornada 1,Genoa,9,1,3,3,VISITANTE,3 - 3, 3,3,0,0,0,1,0,0,0,1,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Roma,,,27,76,184,0
Serie A,Temporada2020,Jornada 1,Roma,10,1,3,3,LOCAL,3 - 3,3 ,3,0,0,0,1,0,0,0,1,0,72,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Genoa,,,26,77,185,0
