Temporada,Jornada,Equipo,Jugador,Estado,Cambio,Gol,Amarilla,Roja,Asistencia,Lesion
Temporada2017,Jornada 21,Juventus,G. Buffon,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,G. Chiellini,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,L. Bonucci,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,K. Asamoah,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,S. Lichtsteiner,Titular,74,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,S. Khedira,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,M. Pjanić,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,J. Cuadrado,Titular,,0,0,0,1,0
Temporada2017,Jornada 21,Juventus,M. Mandžukić,Titular,,0,0,0,1,0
Temporada2017,Jornada 21,Juventus,G. Higuaín,Titular,87,1,0,0,0,0
Temporada2017,Jornada 21,Juventus,P. Dybala,Titular,82,1,0,0,0,0
Temporada2017,Jornada 21,Juventus,E. Audero,Suplente,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,Neto,Suplente,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,D. Rugani,Suplente,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,D. Alves,Suplente,,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,A. Barzagli,Suplente,74,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,T. Rincón,Suplente,82,0,0,0,0,0
Temporada2017,Jornada 21,Juventus,M. Pjaca,Suplente,87,0,0,0,0,0
Temporada2017,Jornada 21,Lazio,F. Marchetti,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Lazio,S. De Vrij,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Lazio,Wallace,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Lazio,Patric,Titular,,0,0,0,0,0
Temporada2017,Jornada 21,Lazio,S. Radu,Titular,60,0,1,0,0,0
Temporada2017,Jornada 21,Lazio,L. Biglia,Titular,60,0,0,0,0,0
Temporada2017,Jornada 21,Lazio,S. Milinkovic-Savic,Titular,,0,0,0,0,0
