copa_temporada,copa_fecha,copa_local,copa_visitante,copa_resultado
Temporada2020,04 Ago 19,Triestina ,Cavese 1919,3 - 1
Temporada2020,04 Ago 19,Pro Patria,Matelica Calcio,1 - 0
Temporada2020,03 Ago 19,Virtus Francavilla,Novara Calcio,2 - 1
Temporada2020,06 Ago 19,Reggina,Vicenza ,3 - 2
Temporada2020,04 Ago 19,Siena,Mantova,0 - 2
Temporada2020,04 Ago 19,AC Monza,Alessandria,2 - 0
Temporada2020,04 Ago 19,Ravenna Calcio,Sanremo,1 - 0
Temporada2020,04 Ago 19,AC Arezzo,Turris Neapolis,1 - 0
Temporada2020,04 Ago 19,Catanzaro,Casertana,4 - 1
Temporada2020,04 Ago 19,Imolese,SS Sambenedettese Calcio,3 - 3
Temporada2020,03 Ago 19,Pro Vercelli,Rende,2 - 0
Temporada2020,04 Ago 19,Piacenza,Viterbese,1 - 1
Temporada2020,04 Ago 19,Catania,Fanfulla,3 - 0
Temporada2020,04 Ago 19,Carrarese,Fermana,1 - 1
Temporada2020,04 Ago 19,MonoPoli,Ponsacco,4 - 1
Temporada2020,04 Ago 19,Sudtirol,Città di Fasano,4 - 2
Temporada2020,04 Ago 19,Potenza Calcio,Lanusei,2 - 0
Temporada2020,04 Ago 19,Adriese,Feralpisalò,0 - 1
Temporada2020,11 Ago 19,Livorno,Carpi,0 - 1
Temporada2020,11 Ago 19,Perugia,Triestina ,1 - 0
Temporada2020,11 Ago 19,Spezia,Pro Patria,5 - 0
Temporada2020,11 Ago 19,Cremonese,Virtus Francavilla,4 - 0
Temporada2020,11 Ago 19,Pescara,Mantova,3 - 2
Temporada2020,11 Ago 19,Benevento,AC Monza,3 - 4
Temporada2020,11 Ago 19,Cittadella,Padova,3 - 0
Temporada2020,11 Ago 19,Chievo,Ravenna Calcio,1 - 1
Temporada2020,11 Ago 19,Crotone,AC Arezzo,4 - 3
Temporada2020,11 Ago 19,Salernitana,Catanzaro,3 - 1
Temporada2020,11 Ago 19,Juve Stabia,Imolese,1 - 1
Temporada2020,10 Ago 19,Ascoli,Pro Vercelli,5 - 1
Temporada2020,11 Ago 19,Trapani,Piacenza,3 - 1
Temporada2020,11 Ago 19,Venezia,Catania,2 - 1
Temporada2020,11 Ago 19,Frosinone,Carrarese,4 - 0
Temporada2020,11 Ago 19,MonoPoli,Nuova Cosenza,1 - 0
Temporada2020,11 Ago 19,Virtus Entella,Sudtirol,1 - 2
Temporada2020,11 Ago 19,Pisa,Potenza Calcio,3 - 0
Temporada2020,11 Ago 19,Pordenone,Feralpisalò,1 - 2
Temporada2020,11 Ago 19,Empoli,Reggina,2 - 1
Temporada2020,18 Ago 19,Perugia,Brescia,2 - 1
Temporada2020,18 Ago 19,Sassuolo,Spezia,1 - 0
Temporada2020,18 Ago 19,Hellas Verona,Cremonese,1 - 2
Temporada2020,18 Ago 19,Ascoli,Trapani,2 - 0
Temporada2020,18 Ago 19,Fiorentina,AC Monza,3 - 1
Temporada2020,18 Ago 19,Frosinone,MonoPoli,5 - 1
Temporada2020,18 Ago 19,Cagliari,Chievo,2 - 1
Temporada2020,18 Ago 19,Crotone,Sampdoria,1 - 3
Temporada2020,18 Ago 19,SPAL,Feralpisalò,3 - 1
Temporada2020,18 Ago 19,Lecce,Salernitana,4 - 0
Temporada2020,16 Ago 19,Genoa,Imolese,4 - 1
Temporada2020,18 Ago 19,Cittadella,Carpi,3 - 3
Temporada2020,17 Ago 19,Parma,Venezia,3 - 1
Temporada2020,18 Ago 19,Empoli,Pescara,2 - 1
Temporada2020,18 Ago 19,Udinese,Sudtirol,3 - 1
Temporada2020,18 Ago 19,Pisa,Bologna,0 - 3
Temporada2020,05 Dic 19,Cagliari,Sampdoria,2 - 1
Temporada2020,03 Dic 19,Cremonese,Empoli,1 - 0
Temporada2020,03 Dic 19,Fiorentina,Cittadella,2 - 0
Temporada2020,03 Dic 19,Genoa,Ascoli,3 - 2
Temporada2020,05 Dic 19,Parma,Frosinone,2 - 1
Temporada2020,04 Dic 19,Sassuolo,Perugia,1 - 2
Temporada2020,04 Dic 19,SPAL,Lecce,5 - 1
Temporada2020,04 Dic 19,Udinese,Bologna,4 - 0
Temporada2020,15 Ene 20,Milan,SPAL,3 - 0
Temporada2020,09 Ene 20,Torino,Genoa,1 - 1
Temporada2020,15 Ene 20,Juventus,Udinese,4 - 0
Temporada2020,15 Ene 20,Fiorentina,Atalanta,2 - 1
Temporada2020,14 Ene 20,Lazio,Cremonese,4 - 0
Temporada2020,14 Ene 20,Napoli,Perugia,2 - 0
Temporada2020,16 Ene 20,Parma,Roma,0 - 2
Temporada2020,14 Ene 20,Inter,Cagliari,4 - 1
Temporada2020,21 Ene 20,Napoli,Lazio,1 - 0
Temporada2020,28 Ene 20,Milan,Torino,4 - 2
Temporada2020,22 Ene 20,Juventus,Roma,3 - 1
Temporada2020,29 Ene 20,Inter,Fiorentina,2 - 1
Temporada2020,13 Feb 20,Milan,Juventus,1 - 1
Temporada2020,04 Mar 20,Juventus,Milan,
Temporada2020,05 Mar 20,Napoli,Inter,
Temporada2020,12 Feb 20,Inter,Napoli,0 - 1
Temporada2019,29 Jul 18,Viterbese,Rende,1 - 0
Temporada2019,29 Jul 18,SS Sambenedettese Calcio,Sanremo,1 - 0
Temporada2019,29 Jul 18,Ternana Calcio,Pontedera,1 - 1
Temporada2019,29 Jul 18,Catania,Como,3 - 0
Temporada2019,29 Jul 18,Juve Stabia,Pistoiese,1 - 0
Temporada2019,29 Jul 18,Pisa,Triestina ,2 - 2
Temporada2019,29 Jul 18,MonoPoli,Piacenza,1 - 1
Temporada2019,29 Jul 18,Carrarese,Imolese,0 - 1
Temporada2019,29 Jul 18,Trapani,Campodarsego,1 - 0
Temporada2019,29 Jul 18,Sudtirol,Albalonga,2 - 1
Temporada2019,29 Jul 18,Feralpisalò,Virtus Francavilla,2 - 0
Temporada2019,29 Jul 18,Siena,Sicula Leonzio,2 - 0
Temporada2019,29 Jul 18,Renate,Rezzato,0 - 2
Temporada2019,29 Jul 18,AC Monza,Matelica Calcio,1 - 0
