clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 1,1,Inter,3,1,1,0,0,4,0
Temporada2020,Jornada 1,2,Lazio,3,1,1,0,0,3,0
Temporada2020,Jornada 1,3,Napoli,3,1,1,0,0,4,3
Temporada2020,Jornada 1,4,Atalanta,3,1,1,0,0,3,2
Temporada2020,Jornada 1,5,Torino,3,1,1,0,0,2,1
Temporada2020,Jornada 1,6,Brescia,3,1,1,0,0,1,0
Temporada2020,Jornada 1,7,Juventus,3,1,1,0,0,1,0
Temporada2020,Jornada 1,8,Udinese,3,1,1,0,0,1,0
Temporada2020,Jornada 1,9,Genoa,1,1,0,1,0,3,3
Temporada2020,Jornada 1,10,Roma,1,1,0,1,0,3,3
Temporada2020,Jornada 1,11,Bologna,1,1,0,1,0,1,1
Temporada2020,Jornada 1,12,Hellas Verona,1,1,0,1,0,1,1
Temporada2020,Jornada 1,13,Fiorentina,0,1,0,0,1,3,4
Temporada2020,Jornada 1,14,SPAL,0,1,0,0,1,2,3
Temporada2020,Jornada 1,15,Sassuolo,0,1,0,0,1,1,2
Temporada2020,Jornada 1,16,Cagliari,0,1,0,0,1,0,1
Temporada2020,Jornada 1,17,Milan,0,1,0,0,1,0,1
Temporada2020,Jornada 1,18,Parma,0,1,0,0,1,0,1
Temporada2020,Jornada 1,19,Sampdoria,0,1,0,0,1,0,3
Temporada2020,Jornada 1,20,Lecce,0,1,0,0,1,0,4
Temporada2020,Jornada 2,1,Inter,6,2,2,0,0,6,1
Temporada2020,Jornada 2,2,Juventus,6,2,2,0,0,5,3
Temporada2020,Jornada 2,3,Torino,6,2,2,0,0,5,3
Temporada2020,Jornada 2,4,Lazio,4,2,1,1,0,4,1
Temporada2020,Jornada 2,5,Genoa,4,2,1,1,0,5,4
