partidos_temporada,partidos_jornada,partidos_fecha,partidos_foto_local,partidos_equipo_local,partidos_resultado,partidos_foto_visitante,partidos_equipo_visitante
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2176.jpg?size=37x&5,Roma,3 - 3,https://thumb.resfu.com/img_data/escudos/small/4101.jpg?size=37x&5,Genoa
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/609.jpg?size=37x&5,Cagliari,0 - 1,https://thumb.resfu.com/img_data/escudos/small/544.jpg?size=37x&5,Brescia
Temporada2020,Jornada 1,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1142.jpg?size=37x&5,Fiorentina,3 - 4,https://thumb.resfu.com/img_data/escudos/small/1777.jpg?size=37x&5,Napoli
Temporada2020,Jornada 1,26 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1381.jpg?size=37x&5,Inter,4 - 0,https://thumb.resfu.com/img_data/escudos/small/1531.jpg?size=37x&5,Lecce
Temporada2020,Jornada 1,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1927.jpg?size=37x&5,Parma,0 - 1,https://thumb.resfu.com/img_data/escudos/small/1430.jpg?size=37x&5,Juventus
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2215.jpg?size=37x&5,Sampdoria,0 - 3,https://thumb.resfu.com/img_data/escudos/small/1526.jpg?size=37x&5,Lazio
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2376.jpg?size=37x&5,SPAL,2 - 3,https://thumb.resfu.com/img_data/escudos/small/339.jpg?size=37x&5,Atalanta
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2508.jpg?size=37x&5,Torino,2 - 1,https://thumb.resfu.com/img_data/escudos/small/2634.jpg?size=37x&5,Sassuolo
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2573.jpg?size=37x&5,Udinese,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1692.jpg?size=37x&5,Milan
Temporada2020,Jornada 1,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1305.jpg?size=37x&5,Hellas Verona,1 - 1,https://thumb.resfu.com/img_data/escudos/small/522.jpg?size=37x&5,Bologna
Temporada2020,Jornada 2,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1692.jpg?size=37x&5,Milan,1 - 0,https://thumb.resfu.com/img_data/escudos/small/544.jpg?size=37x&5,Brescia
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/339.jpg?size=37x&5,Atalanta,2 - 3,https://thumb.resfu.com/img_data/escudos/small/2508.jpg?size=37x&5,Torino
Temporada2020,Jornada 2,30 Ago 19,https://thumb.resfu.com/img_data/escudos/small/522.jpg?size=37x&5,Bologna,1 - 0,https://thumb.resfu.com/img_data/escudos/small/2376.jpg?size=37x&5,SPAL
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/609.jpg?size=37x&5,Cagliari,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1381.jpg?size=37x&5,Inter
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/4101.jpg?size=37x&5,Genoa,2 - 1,https://thumb.resfu.com/img_data/escudos/small/1142.jpg?size=37x&5,Fiorentina
Temporada2020,Jornada 2,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1430.jpg?size=37x&5,Juventus,4 - 3,https://thumb.resfu.com/img_data/escudos/small/1777.jpg?size=37x&5,Napoli
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1526.jpg?size=37x&5,Lazio,1 - 1,https://thumb.resfu.com/img_data/escudos/small/2176.jpg?size=37x&5,Roma
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1531.jpg?size=37x&5,Lecce,0 - 1,https://thumb.resfu.com/img_data/escudos/small/1305.jpg?size=37x&5,Hellas Verona
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2634.jpg?size=37x&5,Sassuolo,4 - 1,https://thumb.resfu.com/img_data/escudos/small/2215.jpg?size=37x&5,Sampdoria
Temporada2020,Jornada 2,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2573.jpg?size=37x&5,Udinese,1 - 3,https://thumb.resfu.com/img_data/escudos/small/1927.jpg?size=37x&5,Parma
Temporada2020,Jornada 3,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2176.jpg?size=37x&5,Roma,4 - 2,https://thumb.resfu.com/img_data/escudos/small/2634.jpg?size=37x&5,Sassuolo
Temporada2020,Jornada 3,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/544.jpg?size=37x&5,Brescia,3 - 4,https://thumb.resfu.com/img_data/escudos/small/522.jpg?size=37x&5,Bologna
Temporada2020,Jornada 3,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1142.jpg?size=37x&5,Fiorentina,0 - 0,https://thumb.resfu.com/img_data/escudos/small/1430.jpg?size=37x&5,Juventus
Temporada2020,Jornada 3,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/4101.jpg?size=37x&5,Genoa,1 - 2,https://thumb.resfu.com/img_data/escudos/small/339.jpg?size=37x&5,Atalanta
Temporada2020,Jornada 3,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1381.jpg?size=37x&5,Inter,1 - 0,https://thumb.resfu.com/img_data/escudos/small/2573.jpg?size=37x&5,Udinese
Temporada2020,Jornada 3,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1777.jpg?size=37x&5,Napoli,2 - 0,https://thumb.resfu.com/img_data/escudos/small/2215.jpg?size=37x&5,Sampdoria
Temporada2020,Jornada 3,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1927.jpg?size=37x&5,Parma,1 - 3,https://thumb.resfu.com/img_data/escudos/small/609.jpg?size=37x&5,Cagliari
Temporada2020,Jornada 3,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2376.jpg?size=37x&5,SPAL,2 - 1,https://thumb.resfu.com/img_data/escudos/small/1526.jpg?size=37x&5,Lazio
Temporada2020,Jornada 3,16 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2508.jpg?size=37x&5,Torino,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1531.jpg?size=37x&5,Lecce
Temporada2020,Jornada 3,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1305.jpg?size=37x&5,Hellas Verona,0 - 1,https://thumb.resfu.com/img_data/escudos/small/1692.jpg?size=37x&5,Milan
Temporada2020,Jornada 4,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1692.jpg?size=37x&5,Milan,0 - 2,https://thumb.resfu.com/img_data/escudos/small/1381.jpg?size=37x&5,Inter
Temporada2020,Jornada 4,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/339.jpg?size=37x&5,Atalanta,2 - 2,https://thumb.resfu.com/img_data/escudos/small/1142.jpg?size=37x&5,Fiorentina
Temporada2020,Jornada 4,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/522.jpg?size=37x&5,Bologna,1 - 2,https://thumb.resfu.com/img_data/escudos/small/2176.jpg?size=37x&5,Roma
Temporada2020,Jornada 4,20 Sep 19,https://thumb.resfu.com/img_data/escudos/small/609.jpg?size=37x&5,Cagliari,3 - 1,https://thumb.resfu.com/img_data/escudos/small/4101.jpg?size=37x&5,Genoa
Temporada2020,Jornada 4,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1430.jpg?size=37x&5,Juventus,2 - 1,https://thumb.resfu.com/img_data/escudos/small/1305.jpg?size=37x&5,Hellas Verona
Temporada2020,Jornada 4,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1526.jpg?size=37x&5,Lazio,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1927.jpg?size=37x&5,Parma
Temporada2020,Jornada 4,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1531.jpg?size=37x&5,Lecce,1 - 4,https://thumb.resfu.com/img_data/escudos/small/1777.jpg?size=37x&5,Napoli
Temporada2020,Jornada 4,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2215.jpg?size=37x&5,Sampdoria,1 - 0,https://thumb.resfu.com/img_data/escudos/small/2508.jpg?size=37x&5,Torino
Temporada2020,Jornada 4,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2634.jpg?size=37x&5,Sassuolo,3 - 0,https://thumb.resfu.com/img_data/escudos/small/2376.jpg?size=37x&5,SPAL
Temporada2020,Jornada 4,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2573.jpg?size=37x&5,Udinese,0 - 1,https://thumb.resfu.com/img_data/escudos/small/544.jpg?size=37x&5,Brescia
