plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2020,Juventus,31,https://thumb.resfu.com/img_data/players/medium/115935.jpg?size=60x&5,C. Pinsoglio,Portero,30,https://thumb.resfu.com/media/img/1px.gif,188,77,0,0,0
Temporada2020,Juventus,77,https://thumb.resfu.com/img_data/players/medium/735.jpg?size=60x&5,G. Buffon,Portero,42,https://thumb.resfu.com/media/img/1px.gif,191,83,0,0,0
Temporada2020,Juventus,1,https://thumb.resfu.com/img_data/players/medium/35491.jpg?size=60x&5,W. Szczęsny,Portero,30,https://thumb.resfu.com/media/img/1px.gif,195,80,0,0,1
Temporada2020,Juventus,12,https://thumb.resfu.com/img_data/players/medium/64492.jpg?size=60x&5,Alex Sandro,Defensa,29,https://thumb.resfu.com/media/img/1px.gif,181,80,0,0,3
Temporada2020,Juventus,24,https://thumb.resfu.com/img_data/players/medium/195235.jpg?size=60x&5,D. Rugani,Defensa,25,https://thumb.resfu.com/media/img/1px.gif,188,78,0,0,1
Temporada2020,Juventus,13,https://thumb.resfu.com/img_data/players/medium/82937.jpg?size=60x&5,Danilo,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,184,73,1,1,3
Temporada2020,Juventus,3,https://thumb.resfu.com/img_data/players/medium/822.jpg?size=60x&5,G. Chiellini,Defensa,35,https://thumb.resfu.com/media/img/1px.gif,186,76,1,0,0
Temporada2020,Juventus,19,https://thumb.resfu.com/img_data/players/medium/44556.jpg?size=60x&5,L. Bonucci,Defensa,33,https://thumb.resfu.com/media/img/1px.gif,190,82,3,0,8
Temporada2020,Juventus,41,https://thumb.resfu.com/img_data/players/medium/285658.jpg?size=60x&5,L. Coccolo,Defensa,22,https://thumb.resfu.com/media/img/1px.gif,187,78,0,0,0
Temporada2020,Juventus,4,https://thumb.resfu.com/img_data/players/medium/309633.jpg?size=60x&5,M. De Ligt,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,188,76,3,0,5
Temporada2020,Juventus,2,https://thumb.resfu.com/img_data/players/medium/125292.jpg?size=60x&5,M. De Sciglio,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,181,68,0,0,1
Temporada2020,Juventus,28,https://thumb.resfu.com/img_data/players/medium/320446.jpg?size=60x&5,M. Demiral,Defensa,22,https://thumb.resfu.com/media/img/1px.gif,192,85,1,0,1
Temporada2020,Juventus,34,https://thumb.resfu.com/img_data/players/medium/341520.jpg?size=60x&5,P. Beruatto,Defensa,21,https://thumb.resfu.com/media/img/1px.gif,184,78,0,0,0
Temporada2020,Juventus,42,https://thumb.resfu.com/img_data/players/medium/365360.jpg?size=60x&5,Wesley,Defensa,20,https://thumb.resfu.com/media/img/1px.gif,177,66,0,0,0
Temporada2020,Juventus,25,https://thumb.resfu.com/img_data/players/medium/144802.jpg?size=60x&5,A. Rabiot,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,188,71,1,1,6
Temporada2020,Juventus,8,https://thumb.resfu.com/img_data/players/medium/13124.jpg?size=60x&5,A. Ramsey,Centrocampista,29,https://thumb.resfu.com/media/img/1px.gif,183,76,3,0,0
Temporada2020,Juventus,14,https://thumb.resfu.com/img_data/players/medium/687.jpg?size=60x&5,B. Matuidi,Centrocampista,33,https://thumb.resfu.com/media/img/1px.gif,180,70,0,0,2
Temporada2020,Juventus,43,https://thumb.resfu.com/img_data/players/medium/319068.jpg?size=60x&5,D. Peeters,Centrocampista,21,https://thumb.resfu.com/media/img/1px.gif,185,74,0,0,0
Temporada2020,Juventus,16,https://thumb.resfu.com/img_data/players/medium/72085.jpg?size=60x&5,J. Cuadrado,Centrocampista,32,https://thumb.resfu.com/media/img/1px.gif,179,71,2,1,5
Temporada2020,Juventus,46,https://thumb.resfu.com/img_data/players/medium/339547.jpg?size=60x&5,L. Zanimacchia,Centrocampista,21,https://thumb.resfu.com/media/img/1px.gif,178,70,0,0,0
Temporada2020,Juventus,5,https://thumb.resfu.com/img_data/players/medium/3270.jpg?size=60x&5,M. Pjanić,Centrocampista,30,https://thumb.resfu.com/media/img/1px.gif,180,68,3,0,8
Temporada2020,Juventus,39,https://thumb.resfu.com/img_data/players/medium/367971.jpg?size=60x&5,M. Portanova,Centrocampista,20,https://thumb.resfu.com/media/img/1px.gif,182,72,0,0,0
