TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 1,LOCAL,Celta de Vigo,Real Madrid,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Celta de Vigo,Real Madrid,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Real Mallorca,Eibar,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Real Mallorca,Eibar,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Atlético Madrid,Getafe,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Atlético Madrid,Getafe,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Espanyol,Sevilla,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Espanyol,Sevilla,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Alavés,Levante,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Alavés,Levante,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Valencia,Real Sociedad,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Valencia,Real Sociedad,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Real Betis,Real Valladolid,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Real Betis,Real Valladolid,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Leganés,Osasuna,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Leganés,Osasuna,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Athletic Bilbao,Barcelona,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Athletic Bilbao,Barcelona,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Villarreal,Granada,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Villarreal,Granada,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 2,LOCAL,Alavés,Espanyol,EMPATADO,-15,2,4,0,1,0,1,7
Temporada2020,Jornada 2,VISITANTE,Alavés,Espanyol,EMPATADO,15,4,6,0,2,1,2,7
Temporada2020,Jornada 2,LOCAL,Barcelona,Real Betis,GANADO,1,3,3,0,0,2,2,9
Temporada2020,Jornada 2,VISITANTE,Barcelona,Real Betis,PERDIDO,-1,4,5,1,1,2,1,7
Temporada2020,Jornada 2,LOCAL,Celta de Vigo,Valencia,GANADO,7,1,2,0,1,0,0,7
Temporada2020,Jornada 2,VISITANTE,Celta de Vigo,Valencia,PERDIDO,-7,4,3,0,2,2,1,7
Temporada2020,Jornada 2,LOCAL,Getafe,Athletic Bilbao,EMPATADO,10,3,3,0,2,1,1,6
Temporada2020,Jornada 2,VISITANTE,Getafe,Athletic Bilbao,EMPATADO,-10,1,4,0,0,1,0,8
Temporada2020,Jornada 2,LOCAL,Granada,Sevilla,PERDIDO,7,0,2,0,0,0,0,6
Temporada2020,Jornada 2,VISITANTE,Granada,Sevilla,GANADO,-7,1,2,0,0,1,0,5
Temporada2020,Jornada 2,LOCAL,Leganés,Atlético Madrid,PERDIDO,10,3,5,1,1,1,0,8
Temporada2020,Jornada 2,VISITANTE,Leganés,Atlético Madrid,GANADO,-10,1,1,0,1,0,0,7
Temporada2020,Jornada 2,LOCAL,Levante,Villarreal,GANADO,8,3,5,0,1,1,1,5
Temporada2020,Jornada 2,VISITANTE,Levante,Villarreal,PERDIDO,-8,3,3,0,2,1,0,6
Temporada2020,Jornada 2,LOCAL,Real Mallorca,Real Sociedad,PERDIDO,-8,0,2,0,0,0,0,8
Temporada2020,Jornada 2,VISITANTE,Real Mallorca,Real Sociedad,GANADO,8,0,3,0,0,0,0,8
Temporada2020,Jornada 2,LOCAL,Osasuna,Eibar,EMPATADO,-5,1,5,1,0,1,1,7
Temporada2020,Jornada 2,VISITANTE,Osasuna,Eibar,EMPATADO,5,3,4,0,3,2,0,7
Temporada2020,Jornada 2,LOCAL,Real Madrid,Real Valladolid,EMPATADO,-3,3,3,0,1,2,1,7
Temporada2020,Jornada 2,VISITANTE,Real Madrid,Real Valladolid,EMPATADO,3,3,4,0,1,1,1,6
Temporada2020,Jornada 3,LOCAL,Athletic Bilbao,Real Sociedad,GANADO,-1,3,3,0,2,1,1,6
Temporada2020,Jornada 3,VISITANTE,Athletic Bilbao,Real Sociedad,PERDIDO,1,1,2,0,1,0,0,5
Temporada2020,Jornada 3,LOCAL,Atlético Madrid,Eibar,GANADO,-13,3,2,0,1,1,1,7
Temporada2020,Jornada 3,VISITANTE,Atlético Madrid,Eibar,PERDIDO,13,5,5,0,1,3,2,8
Temporada2020,Jornada 3,LOCAL,Real Betis,Leganés,GANADO,1,3,5,1,2,1,0,6
Temporada2020,Jornada 3,VISITANTE,Real Betis,Leganés,PERDIDO,-1,4,6,1,2,1,0,6
Temporada2020,Jornada 3,LOCAL,Espanyol,Granada,PERDIDO,4,1,3,0,0,0,1,7
Temporada2020,Jornada 3,VISITANTE,Espanyol,Granada,GANADO,-4,2,3,0,0,1,1,9
Temporada2020,Jornada 3,LOCAL,Getafe,Alavés,EMPATADO,9,3,4,0,1,1,1,7
Temporada2020,Jornada 3,VISITANTE,Getafe,Alavés,EMPATADO,-9,3,4,1,1,0,2,6
Temporada2020,Jornada 3,LOCAL,Levante,Real Valladolid,GANADO,6,4,5,0,2,1,2,8
Temporada2020,Jornada 3,VISITANTE,Levante,Real Valladolid,PERDIDO,-6,1,3,0,1,0,1,7
Temporada2020,Jornada 3,LOCAL,Osasuna,Barcelona,EMPATADO,-1,4,5,1,0,3,1,7
Temporada2020,Jornada 3,VISITANTE,Osasuna,Barcelona,EMPATADO,1,0,1,0,0,0,0,6
Temporada2020,Jornada 3,LOCAL,Sevilla,Celta de Vigo,EMPATADO,-11,1,4,0,0,0,1,7
Temporada2020,Jornada 3,VISITANTE,Sevilla,Celta de Vigo,EMPATADO,11,0,2,0,0,0,0,6
Temporada2020,Jornada 3,LOCAL,Valencia,Real Mallorca,GANADO,6,4,3,0,2,2,1,8
Temporada2020,Jornada 3,VISITANTE,Valencia,Real Mallorca,PERDIDO,-6,0,2,0,0,0,0,7
Temporada2020,Jornada 3,LOCAL,Villarreal,Real Madrid,EMPATADO,10,1,1,0,1,0,0,9
Temporada2020,Jornada 3,VISITANTE,Villarreal,Real Madrid,EMPATADO,-10,3,4,0,1,2,2,8
Temporada2020,Jornada 4,LOCAL,Alavés,Sevilla,PERDIDO,4,3,5,1,1,1,1,15
Temporada2020,Jornada 4,VISITANTE,Alavés,Sevilla,GANADO,-4,2,4,0,0,1,2,16
Temporada2020,Jornada 4,LOCAL,Barcelona,Valencia,GANADO,-2,2,4,0,0,2,1,14
Temporada2020,Jornada 4,VISITANTE,Barcelona,Valencia,PERDIDO,2,1,1,0,1,0,0,13
Temporada2020,Jornada 4,LOCAL,Real Betis,Getafe,EMPATADO,-2,3,2,0,1,1,1,15
Temporada2020,Jornada 4,VISITANTE,Real Betis,Getafe,EMPATADO,2,2,4,0,0,2,1,15
Temporada2020,Jornada 4,LOCAL,Celta de Vigo,Granada,PERDIDO,2,3,4,0,2,0,1,16
Temporada2020,Jornada 4,VISITANTE,Celta de Vigo,Granada,GANADO,-2,0,2,0,0,0,0,14
Temporada2020,Jornada 4,LOCAL,Eibar,Espanyol,PERDIDO,-1,2,3,1,1,2,1,14
Temporada2020,Jornada 4,VISITANTE,Eibar,Espanyol,GANADO,1,3,5,0,1,0,2,14
Temporada2020,Jornada 4,LOCAL,Leganés,Villarreal,PERDIDO,4,3,4,1,2,0,1,14
Temporada2020,Jornada 4,VISITANTE,Leganés,Villarreal,GANADO,-4,3,3,1,0,1,1,13
Temporada2020,Jornada 4,LOCAL,Real Mallorca,Athletic Bilbao,EMPATADO,12,1,4,0,1,0,0,12
Temporada2020,Jornada 4,VISITANTE,Real Mallorca,Athletic Bilbao,EMPATADO,-12,0,0,0,0,0,0,14
