Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
La Liga Santander,Temporada2020,Jornada 1,Real Madrid,1,3,3,1,VISITANTE,1 - 3, 3,3,0,0,0,0,0,0,0,3,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,,,Celta de Vigo,,,29,74,183,0
La Liga Santander,Temporada2020,Jornada 1,Sevilla,2,3,2,0,VISITANTE,0 - 2, 2,3,0,0,0,1,0,1,0,1,0,70,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,,,Espanyol,,,27,74,182,0
La Liga Santander,Temporada2020,Jornada 1,Real Mallorca,3,3,2,1,LOCAL,2 - 1,2 ,3,0,0,0,1,0,1,0,1,0,75,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Eibar,,,27,72,179,0
La Liga Santander,Temporada2020,Jornada 1,Real Valladolid,4,3,2,1,VISITANTE,1 - 2, 2,3,0,0,0,1,0,1,0,1,0,47,0,0,0,1,1,0,0,0,0,0,0,1,0,5,0,0,0,,,Real Betis,,,29,72,179,0
La Liga Santander,Temporada2020,Jornada 1,Alavés,5,3,1,0,LOCAL,1 - 0,1 ,3,0,0,0,0,0,2,0,1,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Levante,,,28,73,181,0
La Liga Santander,Temporada2020,Jornada 1,Athletic Bilbao,6,3,1,0,LOCAL,1 - 0,1 ,3,0,0,0,1,0,1,0,1,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Barcelona,,,27,74,179,0
La Liga Santander,Temporada2020,Jornada 1,Atlético Madrid,7,3,1,0,LOCAL,1 - 0,1 ,3,0,0,0,0,0,2,0,1,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Getafe,,,25,75,181,0
La Liga Santander,Temporada2020,Jornada 1,Osasuna,8,3,1,0,VISITANTE,0 - 1, 1,3,0,0,0,0,0,1,0,2,0,82,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,,,Leganés,,,28,73,179,0
La Liga Santander,Temporada2020,Jornada 1,Granada,9,1,4,4,VISITANTE,4 - 4, 4,3,0,0,0,0,0,2,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Villarreal,,,28,75,182,0
La Liga Santander,Temporada2020,Jornada 1,Villarreal,10,1,4,4,LOCAL,4 - 4,4 ,3,0,0,0,0,0,2,0,1,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,,Granada,,,27,73,180,0
