Temporada,Jornada,Equipo,Jugador,Estado,Cambio,Gol,Amarilla,Roja,Asistencia,Lesion
Temporada2017,Jornada 33,Real Madrid,K. Navas,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,Sergio Ramos,Titular,,0,0,1,0,0
Temporada2017,Jornada 33,Real Madrid,Nacho,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,Marcelo,Titular,,0,0,0,1,0
Temporada2017,Jornada 33,Real Madrid,D. Carvajal,Titular,,0,1,0,0,0
Temporada2017,Jornada 33,Real Madrid,Casemiro,Titular,70,1,1,0,0,0
Temporada2017,Jornada 33,Real Madrid,T. Kroos,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,L. Modrić,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,G. Bale,Titular,39,0,0,0,0,1
Temporada2017,Jornada 33,Real Madrid,K. Benzema,Titular,82,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,C. Ronaldo,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,K. Casilla,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,Danilo,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,James,Suplente,82,1,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,Isco,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,M. Kovačić,Suplente,70,0,1,0,0,0
Temporada2017,Jornada 33,Real Madrid,M. Asensio,Suplente,39,0,0,0,0,0
Temporada2017,Jornada 33,Real Madrid,Á. Morata,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,M. Ter Stegen,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,S. Umtiti,Titular,,0,1,0,0,0
Temporada2017,Jornada 33,Barcelona,G. Piqué,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,Jordi Alba,Titular,,0,0,0,1,0
Temporada2017,Jornada 33,Barcelona,Sergi Roberto,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,S. Busquets,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,A. Iniesta,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,I. Rakitić,Titular,,1,0,0,1,0
Temporada2017,Jornada 33,Barcelona,L. Messi,Titular,,2,1,0,0,0
Temporada2017,Jornada 33,Barcelona,P. Alcácer,Titular,70,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,L. Suárez,Titular,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,J. Cillessen,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,L. Digne,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,C. Aleñá,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,J. Mascherano,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,A. Gomes,Suplente,70,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,A. Turan,Suplente,,0,0,0,0,0
Temporada2017,Jornada 33,Barcelona,D. Suárez,Suplente,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,K. Navas,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,Nacho,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,R. Varane,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,Marcelo,Titular,68,0,0,0,1,0
Temporada2017,Jornada 17,Real Madrid,D. Carvajal,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,Casemiro,Titular,,1,1,0,0,0
Temporada2017,Jornada 17,Real Madrid,L. Modrić,Titular,,0,0,0,1,0
Temporada2017,Jornada 17,Real Madrid,T. Kroos,Titular,46,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,Isco,Titular,50,2,0,0,0,1
Temporada2017,Jornada 17,Real Madrid,C. Ronaldo,Titular,,1,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,K. Benzema,Titular,,1,0,0,1,0
Temporada2017,Jornada 17,Real Madrid,K. Casilla,Suplente,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,Danilo,Suplente,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,F. Coentrão,Suplente,68,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,James,Suplente,46,0,0,0,1,0
Temporada2017,Jornada 17,Real Madrid,Mariano,Suplente,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,Á. Morata,Suplente,,0,0,0,0,0
Temporada2017,Jornada 17,Real Madrid,M. Asensio,Suplente,50,0,0,0,0,0
Temporada2017,Jornada 17,Granada,G. Ochoa,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,Lombán,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,F. Tabanou,Titular,77,0,1,0,0,0
Temporada2017,Jornada 17,Granada,R. Vezo,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,Tito,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,G. Silva,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,S. Samper,Titular,,0,1,0,0,0
Temporada2017,Jornada 17,Granada,U. Agbo,Titular,60,0,1,0,0,0
Temporada2017,Jornada 17,Granada,A. Pereira,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,J. Boga,Titular,65,0,0,0,0,0
Temporada2017,Jornada 17,Granada,A. Kravets,Titular,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,O. Atzili,Suplente,,0,0,0,0,0
Temporada2017,Jornada 17,Granada,E. Ponce,Suplente,77,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,K. Navas,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,Sergio Ramos,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,Pepe,Titular,67,1,0,0,0,1
Temporada2017,Jornada 31,Real Madrid,Marcelo,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,D. Carvajal,Titular,,0,1,0,0,0
Temporada2017,Jornada 31,Real Madrid,Casemiro,Titular,,0,1,0,0,0
Temporada2017,Jornada 31,Real Madrid,T. Kroos,Titular,76,0,0,0,1,0
Temporada2017,Jornada 31,Real Madrid,L. Modrić,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,C. Ronaldo,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,K. Benzema,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,G. Bale,Titular,81,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,K. Casilla,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,Nacho,Suplente,67,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,M. Kovačić,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,James,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,Isco,Suplente,76,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,Á. Morata,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Real Madrid,Lucas Vázquez,Suplente,81,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,J. Oblak,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,D. Godín,Titular,,0,1,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,S. Savić,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Filipe Luis,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Juanfran,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Gabi,Titular,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Saúl,Titular,62,0,1,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Koke,Titular,,0,1,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Y. Carrasco,Titular,87,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,F. Torres,Titular,78,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,A. Griezmann,Titular,,1,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,André Moreira,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Lucas Hernández,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,J. Giménez,Suplente,87,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Thomas,Suplente,78,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Á. Correa,Suplente,62,0,0,0,1,0
Temporada2017,Jornada 31,Atlético Madrid,A. Cerci,Suplente,,0,0,0,0,0
Temporada2017,Jornada 31,Atlético Madrid,Rober Núñez,Suplente,,0,0,0,0,0
Temporada2017,Jornada 37,Real Madrid,K. Navas,Titular,,0,0,0,0,0
Temporada2017,Jornada 37,Real Madrid,Sergio Ramos,Titular,,0,0,0,0,0
Temporada2017,Jornada 37,Real Madrid,R. Varane,Titular,,0,0,0,0,0
Temporada2017,Jornada 37,Real Madrid,Nacho,Titular,,1,1,0,1,0
Temporada2017,Jornada 37,Real Madrid,Danilo,Titular,,0,1,0,0,0
Temporada2017,Jornada 37,Real Madrid,T. Kroos,Titular,,1,0,0,1,0
Temporada2017,Jornada 37,Real Madrid,James,Titular,61,0,0,0,0,0
