champions_temporada,champions_grupo,champions_fecha,champions_local,champions_visitante,champions_resultado
Temporada2020,Grupo 0,18 Feb 20,B. Dortmund,PSG,2 - 1
Temporada2020,Grupo 0,11 Mar 20,PSG,B. Dortmund,2 - 0
Temporada2020,Grupo 0,26 Feb 20,Real Madrid,Man. City,1 - 2
Temporada2020,Grupo 0,17 Mar 20,Man. City,Real Madrid,
Temporada2020,Grupo 0,19 Feb 20,Atalanta,Valencia,4 - 1
Temporada2020,Grupo 0,10 Mar 20,Valencia,Atalanta,3 - 4
Temporada2020,Grupo 0,18 Feb 20,Atlético Madrid,Liverpool,1 - 0
Temporada2020,Grupo 0,11 Mar 20,Liverpool,Atlético Madrid,2 - 3
Temporada2020,Grupo 0,25 Feb 20,Chelsea,Bayern München,0 - 3
Temporada2020,Grupo 0,18 Mar 20,Bayern München,Chelsea,
Temporada2020,Grupo 0,17 Mar 20,Juventus,Olympique,
Temporada2020,Grupo 0,26 Feb 20,Olympique,Juventus,1 - 0
Temporada2020,Grupo 0,19 Feb 20,Tottenham,RB Leipzig,0 - 1
Temporada2020,Grupo 0,10 Mar 20,RB Leipzig,Tottenham,3 - 0
Temporada2020,Grupo 0,25 Feb 20,Napoli,Barcelona,1 - 1
Temporada2020,Grupo 0,18 Mar 20,Barcelona,Napoli,
Temporada2020,Grupo 1,18 Sep 19,Club Brugge,Galatasaray,0 - 0
Temporada2020,Grupo 1,18 Sep 19,PSG,Real Madrid,3 - 0
Temporada2020,Grupo 1,01 Oct 19,Real Madrid,Club Brugge,2 - 2
Temporada2020,Grupo 1,01 Oct 19,Galatasaray,PSG,0 - 1
Temporada2020,Grupo 1,22 Oct 19,Club Brugge,PSG,0 - 5
Temporada2020,Grupo 1,22 Oct 19,Galatasaray,Real Madrid,0 - 1
Temporada2020,Grupo 1,06 Nov 19,PSG,Club Brugge,1 - 0
Temporada2020,Grupo 1,06 Nov 19,Real Madrid,Galatasaray,6 - 0
Temporada2020,Grupo 1,26 Nov 19,Galatasaray,Club Brugge,1 - 1
Temporada2020,Grupo 1,26 Nov 19,Real Madrid,PSG,2 - 2
Temporada2020,Grupo 1,11 Dic 19,PSG,Galatasaray,5 - 0
Temporada2020,Grupo 1,11 Dic 19,Club Brugge,Real Madrid,1 - 3
Temporada2020,Grupo 2,18 Sep 19,Olympiacos,Tottenham,2 - 2
Temporada2020,Grupo 2,18 Sep 19,Bayern München,Crvena,3 - 0
Temporada2020,Grupo 2,01 Oct 19,Tottenham,Bayern München,2 - 7
Temporada2020,Grupo 2,01 Oct 19,Crvena,Olympiacos,3 - 1
Temporada2020,Grupo 2,22 Oct 19,Tottenham,Crvena,5 - 0
Temporada2020,Grupo 2,22 Oct 19,Olympiacos,Bayern München,2 - 3
Temporada2020,Grupo 2,06 Nov 19,Bayern München,Olympiacos,2 - 0
Temporada2020,Grupo 2,06 Nov 19,Crvena,Tottenham,0 - 4
Temporada2020,Grupo 2,26 Nov 19,Tottenham,Olympiacos,4 - 2
Temporada2020,Grupo 2,26 Nov 19,Crvena,Bayern München,0 - 6
Temporada2020,Grupo 2,11 Dic 19,Bayern München,Tottenham,3 - 1
Temporada2020,Grupo 2,11 Dic 19,Olympiacos,Crvena,1 - 0
Temporada2020,Grupo 3,18 Sep 19,Shakhtar,Man. City,0 - 3
Temporada2020,Grupo 3,18 Sep 19,Dinamo,Atalanta,4 - 0
Temporada2020,Grupo 3,01 Oct 19,Atalanta,Shakhtar,1 - 2
Temporada2020,Grupo 3,01 Oct 19,Man. City,Dinamo,2 - 0
Temporada2020,Grupo 3,22 Oct 19,Shakhtar,Dinamo,2 - 2
Temporada2020,Grupo 3,22 Oct 19,Man. City,Atalanta,5 - 1
Temporada2020,Grupo 3,06 Nov 19,Dinamo,Shakhtar,3 - 3
Temporada2020,Grupo 3,06 Nov 19,Atalanta,Man. City,1 - 1
Temporada2020,Grupo 3,26 Nov 19,Man. City,Shakhtar,1 - 1
Temporada2020,Grupo 3,26 Nov 19,Atalanta,Dinamo,2 - 0
Temporada2020,Grupo 3,11 Dic 19,Shakhtar,Atalanta,0 - 3
Temporada2020,Grupo 3,11 Dic 19,Dinamo,Man. City,1 - 4
Temporada2020,Grupo 4,18 Sep 19,Atlético Madrid,Juventus,2 - 2
Temporada2020,Grupo 4,18 Sep 19,B. Leverkusen,Lokomotiv,1 - 2
Temporada2020,Grupo 4,01 Oct 19,Juventus,B. Leverkusen,3 - 0
Temporada2020,Grupo 4,01 Oct 19,Lokomotiv,Atlético Madrid,0 - 2
Temporada2020,Grupo 4,22 Oct 19,Atlético Madrid,B. Leverkusen,1 - 0
Temporada2020,Grupo 4,22 Oct 19,Juventus,Lokomotiv,2 - 1
Temporada2020,Grupo 4,06 Nov 19,Lokomotiv,Juventus,1 - 2
Temporada2020,Grupo 4,06 Nov 19,B. Leverkusen,Atlético Madrid,2 - 1
Temporada2020,Grupo 4,26 Nov 19,Lokomotiv,B. Leverkusen,0 - 2
Temporada2020,Grupo 4,26 Nov 19,Juventus,Atlético Madrid,1 - 0
Temporada2020,Grupo 4,11 Dic 19,Atlético Madrid,Lokomotiv,2 - 0
