copa_temporada,copa_fecha,copa_local,copa_visitante,copa_resultado
Temporada2020,13 Nov 19,Tolosa CF,Pontellas,1 - 0
Temporada2020,13 Nov 19,Becerril,Urraca CF,1 - 0
Temporada2020,13 Nov 19,Comillas CF,Barquereño,1 - 1
Temporada2020,13 Nov 19,FC Andorra,Andratx,3 - 0
Temporada2020,13 Nov 19,Fraga,Peña Azagresa,0 - 1
Temporada2020,13 Nov 19,Atlético Antoniano,Atletico Porcuna,2 - 0
Temporada2020,13 Nov 19,C.B. Ramón y Cajal,El Palmar,1 - 2
Temporada2020,13 Nov 19,Melilla CD,Lobon AD,1 - 0
Temporada2020,13 Nov 19,El Álamo,CD Pedroñeras,2 - 1
Temporada2020,13 Nov 19,CF Intercity,Gran Tarajal,3 - 0
Temporada2020,17 Dic 19,CF Intercity,Athletic Bilbao,0 - 3
Temporada2020,19 Dic 19,Melilla CD,Levante,0 - 5
Temporada2020,19 Dic 19,Peña Azagresa,Celta de Vigo,0 - 2
Temporada2020,18 Dic 19,El Palmar,Getafe,1 - 2
Temporada2020,19 Dic 19,Becerril,Real Sociedad,0 - 8
Temporada2020,18 Dic 19,Comillas CF,Villarreal,0 - 5
Temporada2020,19 Dic 19,Atlético Antoniano,Real Betis,0 - 4
Temporada2020,18 Dic 19,Tolosa CF,Real Valladolid,0 - 3
Temporada2020,18 Dic 19,El Álamo,Real Mallorca,0 - 1
Temporada2020,17 Dic 19,FC Andorra,Leganés,1 - 1
Temporada2020,17 Dic 19,Gimnástica Segoviana,Elche,0 - 2
Temporada2020,18 Dic 19,Tudelano,Albacete,0 - 1
Temporada2020,18 Dic 19,Bergantiños FC,Sevilla,0 - 1
Temporada2020,17 Dic 19,CD Castellón,Las Palmas,0 - 2
Temporada2020,17 Dic 19,Coruxo,Mirandés,4 - 5
Temporada2020,19 Dic 19,Lorca Deportiva,Osasuna,0 - 3
Temporada2020,17 Dic 19,CP Cacereño,Alcorcón,1 - 0
Temporada2020,19 Dic 19,Linares Deportivo,Girona,1 - 2
Temporada2020,17 Dic 19,Real Jaén,Alavés,3 - 1
Temporada2020,17 Dic 19,Zamora,Real Sporting,2 - 1
Temporada2020,17 Dic 19,UD Yugo Socuéllamos,Real Zaragoza,0 - 1
Temporada2020,17 Dic 19,Mensajero,Tenerife,0 - 3
Temporada2020,19 Dic 19,Laredo,Huesca,0 - 1
Temporada2020,17 Dic 19,SD Logroñés,Eibar,0 - 5
Temporada2020,17 Dic 19,Lealtad Villaviciosa,Cádiz,0 - 1
Temporada2020,17 Dic 19,AD Ceuta FC,Numancia,1 - 1
Temporada2020,17 Dic 19,Tarazona,Rayo Vallecano,0 - 1
Temporada2020,17 Dic 19,L´Hospitalet,Granada,2 - 3
Temporada2020,17 Dic 19,Real Murcia,Racing,1 - 0
Temporada2020,17 Dic 19,Portugalete,Extremadura,1 - 0
Temporada2020,17 Dic 19,Peña Sport,Fuenlabrada,0 - 1
Temporada2020,18 Dic 19,Sestao River,Lugo,1 - 1
Temporada2020,17 Dic 19,Illueca,Deportivo,0 - 2
Temporada2020,17 Dic 19,UM Escobedo,Málaga,2 - 0
Temporada2020,19 Dic 19,Tamaraceite,Almería,3 - 2
Temporada2020,19 Dic 19,Lleida Esportiu,Espanyol,0 - 2
Temporada2020,18 Dic 19,Badalona,Real Oviedo,3 - 1
Temporada2020,19 Dic 19,Peña Deportiva,Ponferradina,0 - 1
Temporada2020,17 Dic 19,F.C. Cartagena,Leioa,4 - 1
Temporada2020,19 Dic 19,Cultural Leonesa,Las Rozas,3 - 0
Temporada2020,19 Dic 19,Gimnàstic Tarragona,Olot,3 - 1
Temporada2020,18 Dic 19,UD Melilla,UCAM Murcia,1 - 2
Temporada2020,11 Dic 19,UD Logroñés,Marino de Luanco,2 - 1
Temporada2020,08 Ene 20,Mérida AD,CF La Nucía,2 - 2
Temporada2020,17 Dic 19,Hércules,Recreativo,0 - 1
Temporada2020,08 Ene 20,Pontevedra,UD Ibiza,0 - 2
Temporada2020,19 Dic 19,Llagostera,Haro Deportivo,0 - 1
Temporada2020,19 Dic 19,Cornellà,Orihuela CF,0 - 0
Temporada2020,18 Dic 19,Sanse,Córdoba,2 - 0
Temporada2020,19 Dic 19,Rayo Majadahonda,Racing Ferrol,1 - 0
Temporada2020,17 Dic 19,Langreo,CD Ebro,2 - 3
Temporada2020,18 Dic 19,Barakaldo,Villarrubia,0 - 0
Temporada2020,19 Dic 19,Amorebieta,CD Badajoz,0 - 1
Temporada2020,17 Dic 19,Unionistas CF,Atlético Baleares,1 - 0
Temporada2020,17 Dic 19,Marbella FC,Guijuelo,2 - 1
Temporada2020,11 Ene 20,Sestao River,Athletic Bilbao,0 - 4
Temporada2020,12 Ene 20,Real Jaén,Levante,1 - 1
Temporada2020,11 Ene 20,Real Murcia,Leganés,0 - 4
Temporada2020,12 Ene 20,UM Escobedo,Sevilla,0 - 5
Temporada2020,12 Ene 20,CP Cacereño,Eibar,1 - 2
Temporada2020,11 Ene 20,Portugalete,Real Betis,0 - 3
Temporada2020,12 Ene 20,AD Ceuta FC,Real Sociedad,0 - 4
Temporada2020,11 Ene 20,Zamora,Real Mallorca,0 - 1
Temporada2020,11 Ene 20,Tamaraceite,Granada,0 - 1
Temporada2020,11 Ene 20,Marbella FC,Real Valladolid,1 - 1
Temporada2020,12 Ene 20,Sanse,Espanyol,0 - 2
Temporada2020,11 Ene 20,Badalona,Getafe,2 - 0
Temporada2020,11 Ene 20,Orihuela CF,Villarreal,1 - 2
Temporada2020,11 Ene 20,Haro Deportivo,Osasuna,1 - 2
Temporada2020,11 Ene 20,CD Badajoz,Las Palmas,2 - 1
Temporada2020,12 Ene 20,Barakaldo,Rayo Vallecano,0 - 2
Temporada2020,11 Ene 20,Cultural Leonesa,Huesca,2 - 1
Temporada2020,12 Ene 20,Unionistas CF,Deportivo,1 - 1
Temporada2020,11 Ene 20,Yeclano Deportivo,Elche,1 - 2
Temporada2020,11 Ene 20,Gimnàstic Tarragona,Real Zaragoza,1 - 3
Temporada2020,11 Ene 20,Rayo Majadahonda,Tenerife,1 - 1
Temporada2020,11 Ene 20,Recreativo,Fuenlabrada,0 - 0
