uefa_temporada,uefa_grupo,uefa_fecha,uefa_local,uefa_visitante,uefa_resultado
Temporada2020,Grupo 0,20 Feb 20,Wolves,Espanyol,4 - 0
Temporada2020,Grupo 0,27 Feb 20,Espanyol,Wolves,3 - 2
Temporada2020,Grupo 0,20 Feb 20,Sporting,İstanbul,3 - 1
Temporada2020,Grupo 0,27 Feb 20,İstanbul,Sporting,4 - 1
Temporada2020,Grupo 0,20 Feb 20,Getafe,Ajax,2 - 0
Temporada2020,Grupo 0,27 Feb 20,Ajax,Getafe,2 - 1
Temporada2020,Grupo 0,27 Feb 20,Porto,B. Leverkusen,1 - 3
Temporada2020,Grupo 0,20 Feb 20,B. Leverkusen,Porto,2 - 1
Temporada2020,Grupo 0,20 Feb 20,Kobenhavn,Celtic,1 - 1
Temporada2020,Grupo 0,27 Feb 20,Celtic,Kobenhavn,1 - 3
Temporada2020,Grupo 0,20 Feb 20,APOEL,Basel,0 - 3
Temporada2020,Grupo 0,27 Feb 20,Basel,APOEL,1 - 0
Temporada2020,Grupo 0,20 Feb 20,CFR Cluj,Sevilla,1 - 1
Temporada2020,Grupo 0,27 Feb 20,Sevilla,CFR Cluj,0 - 0
Temporada2020,Grupo 0,20 Feb 20,Olympiacos,Arsenal,0 - 1
Temporada2020,Grupo 0,27 Feb 20,Arsenal,Olympiacos,1 - 2
Temporada2020,Grupo 0,20 Feb 20,AZ Alkmaar,LASK Linz,1 - 1
Temporada2020,Grupo 0,27 Feb 20,LASK Linz,AZ Alkmaar,2 - 0
Temporada2020,Grupo 0,20 Feb 20,Club Brugge,Man. Utd,1 - 1
Temporada2020,Grupo 0,27 Feb 20,Man. Utd,Club Brugge,5 - 0
Temporada2020,Grupo 0,20 Feb 20,Ludogorets,Inter,0 - 2
Temporada2020,Grupo 0,27 Feb 20,Inter,Ludogorets,2 - 1
Temporada2020,Grupo 0,20 Feb 20,Eintracht,Salzburg,4 - 1
Temporada2020,Grupo 0,28 Feb 20,Salzburg,Eintracht,2 - 2
Temporada2020,Grupo 0,20 Feb 20,Shakhtar,Benfica,2 - 1
