clasificacion_temporada,clasificacion_jornada,clasificacion_posicion,clasificacion_equipo,clasificacion_puntos,clasificacion_partidos_jugados,clasificacion_ganados,clasificacion_empatados,clasificacion_perdidos,clasificacion_goles_favor,clasificacion_goles_contra
Temporada2020,Jornada 1,1,Real Madrid,3,1,1,0,0,3,1
Temporada2020,Jornada 1,2,Sevilla,3,1,1,0,0,2,0
Temporada2020,Jornada 1,3,Real Mallorca,3,1,1,0,0,2,1
Temporada2020,Jornada 1,4,Real Valladolid,3,1,1,0,0,2,1
Temporada2020,Jornada 1,5,Alavés,3,1,1,0,0,1,0
Temporada2020,Jornada 1,6,Athletic Bilbao,3,1,1,0,0,1,0
Temporada2020,Jornada 1,7,Atlético Madrid,3,1,1,0,0,1,0
Temporada2020,Jornada 1,8,Osasuna,3,1,1,0,0,1,0
Temporada2020,Jornada 1,9,Granada,1,1,0,1,0,4,4
Temporada2020,Jornada 1,10,Villarreal,1,1,0,1,0,4,4
Temporada2020,Jornada 1,11,Real Sociedad,1,1,0,1,0,1,1
Temporada2020,Jornada 1,12,Valencia,1,1,0,1,0,1,1
Temporada2020,Jornada 1,13,Eibar,0,1,0,0,1,1,2
Temporada2020,Jornada 1,14,Real Betis,0,1,0,0,1,1,2
Temporada2020,Jornada 1,15,Barcelona,0,1,0,0,1,0,1
Temporada2020,Jornada 1,16,Getafe,0,1,0,0,1,0,1
Temporada2020,Jornada 1,17,Leganés,0,1,0,0,1,0,1
Temporada2020,Jornada 1,18,Levante,0,1,0,0,1,0,1
Temporada2020,Jornada 1,19,Celta de Vigo,0,1,0,0,1,1,3
Temporada2020,Jornada 1,20,Espanyol,0,1,0,0,1,0,2
Temporada2020,Jornada 2,1,Sevilla,6,2,2,0,0,3,0
Temporada2020,Jornada 2,2,Atlético Madrid,6,2,2,0,0,2,0
Temporada2020,Jornada 2,3,Real Madrid,4,2,1,1,0,4,2
Temporada2020,Jornada 2,4,Real Valladolid,4,2,1,1,0,3,2
Temporada2020,Jornada 2,5,Real Sociedad,4,2,1,1,0,2,1
Temporada2020,Jornada 2,6,Athletic Bilbao,4,2,1,1,0,2,1
Temporada2020,Jornada 2,7,Alavés,4,2,1,1,0,1,0
Temporada2020,Jornada 2,8,Osasuna,4,2,1,1,0,1,0
Temporada2020,Jornada 2,9,Barcelona,3,2,1,0,1,5,3
Temporada2020,Jornada 2,10,Real Mallorca,3,2,1,0,1,2,2
Temporada2020,Jornada 2,11,Levante,3,2,1,0,1,2,2
Temporada2020,Jornada 2,12,Celta de Vigo,3,2,1,0,1,2,3
Temporada2020,Jornada 2,13,Villarreal,1,2,0,1,1,5,6
Temporada2020,Jornada 2,14,Granada,1,2,0,1,1,4,5
Temporada2020,Jornada 2,15,Getafe,1,2,0,1,1,1,2
Temporada2020,Jornada 2,16,Valencia,1,2,0,1,1,1,2
Temporada2020,Jornada 2,17,Eibar,1,2,0,1,1,1,2
Temporada2020,Jornada 2,18,Espanyol,1,2,0,1,1,0,2
Temporada2020,Jornada 2,19,Real Betis,0,2,0,0,2,3,7
Temporada2020,Jornada 2,20,Leganés,0,2,0,0,2,0,2
Temporada2020,Jornada 3,1,Atlético Madrid,9,3,3,0,0,5,2
Temporada2020,Jornada 3,2,Sevilla,7,3,2,1,0,4,1
Temporada2020,Jornada 3,3,Athletic Bilbao,7,3,2,1,0,4,1
Temporada2020,Jornada 3,4,Levante,6,3,2,0,1,4,2
Temporada2020,Jornada 3,5,Real Madrid,5,3,1,2,0,6,4
Temporada2020,Jornada 3,6,Osasuna,5,3,1,2,0,3,2
Temporada2020,Jornada 3,7,Alavés,5,3,1,2,0,2,1
Temporada2020,Jornada 3,8,Barcelona,4,3,1,1,1,7,5
Temporada2020,Jornada 3,9,Granada,4,3,1,1,1,7,5
Temporada2020,Jornada 3,10,Valencia,4,3,1,1,1,3,2
Temporada2020,Jornada 3,11,Celta de Vigo,4,3,1,1,1,3,4
Temporada2020,Jornada 3,12,Real Valladolid,4,3,1,1,1,3,4
Temporada2020,Jornada 3,13,Real Sociedad,4,3,1,1,1,2,3
Temporada2020,Jornada 3,14,Real Betis,3,3,1,0,2,5,8
Temporada2020,Jornada 3,15,Real Mallorca,3,3,1,0,2,2,4
Temporada2020,Jornada 3,16,Villarreal,2,3,0,2,1,7,8
Temporada2020,Jornada 3,17,Getafe,2,3,0,2,1,2,3
Temporada2020,Jornada 3,18,Eibar,1,3,0,1,2,3,5
Temporada2020,Jornada 3,19,Espanyol,1,3,0,1,2,0,5
Temporada2020,Jornada 3,20,Leganés,0,3,0,0,3,1,4
Temporada2020,Jornada 4,1,Sevilla,10,4,3,1,0,5,1
Temporada2020,Jornada 4,2,Atlético Madrid,9,4,3,0,1,5,4
Temporada2020,Jornada 4,3,Real Madrid,8,4,2,2,0,9,6
Temporada2020,Jornada 4,4,Athletic Bilbao,8,4,2,2,0,4,1
Temporada2020,Jornada 4,5,Barcelona,7,4,2,1,1,12,7
Temporada2020,Jornada 4,6,Granada,7,4,2,1,1,9,5
Temporada2020,Jornada 4,7,Real Sociedad,7,4,2,1,1,4,3
Temporada2020,Jornada 4,8,Osasuna,6,4,1,3,0,4,3
Temporada2020,Jornada 4,9,Levante,6,4,2,0,2,6,5
Temporada2020,Jornada 4,10,Villarreal,5,4,1,2,1,10,8
Temporada2020,Jornada 4,11,Alavés,5,4,1,2,1,2,2
Temporada2020,Jornada 4,12,Real Valladolid,5,4,1,2,1,4,5
Temporada2020,Jornada 4,13,Valencia,4,4,1,1,2,5,7
Temporada2020,Jornada 4,14,Real Mallorca,4,4,1,1,2,2,4
Temporada2020,Jornada 4,15,Real Betis,4,4,1,1,2,6,9
Temporada2020,Jornada 4,16,Celta de Vigo,4,4,1,1,2,3,6
Temporada2020,Jornada 4,17,Espanyol,4,4,1,1,2,2,6
Temporada2020,Jornada 4,18,Getafe,3,4,0,3,1,3,4
Temporada2020,Jornada 4,19,Eibar,1,4,0,1,3,4,7
Temporada2020,Jornada 4,20,Leganés,0,4,0,0,4,1,7
Temporada2020,Jornada 5,1,Athletic Bilbao,11,5,3,2,0,6,1
Temporada2020,Jornada 5,2,Real Madrid,11,5,3,2,0,10,6
Temporada2020,Jornada 5,3,Granada,10,5,3,1,1,11,5
Temporada2020,Jornada 5,4,Real Sociedad,10,5,3,1,1,7,4
Temporada2020,Jornada 5,5,Sevilla,10,5,3,1,1,5,2
Temporada2020,Jornada 5,6,Atlético Madrid,10,5,3,1,1,5,4
Temporada2020,Jornada 5,7,Villarreal,8,5,2,2,1,12,8
Temporada2020,Jornada 5,8,Barcelona,7,5,2,1,2,12,9
Temporada2020,Jornada 5,9,Levante,7,5,2,1,2,6,5
Temporada2020,Jornada 5,10,Osasuna,7,5,1,4,0,4,3
Temporada2020,Jornada 5,11,Getafe,6,5,1,3,1,7,6
Temporada2020,Jornada 5,12,Valencia,5,5,1,2,2,6,8
Temporada2020,Jornada 5,13,Alavés,5,5,1,2,2,2,4
Temporada2020,Jornada 5,14,Real Betis,5,5,1,2,2,6,9
Temporada2020,Jornada 5,15,Real Valladolid,5,5,1,2,2,4,7
Temporada2020,Jornada 5,16,Celta de Vigo,5,5,1,2,2,3,6
Temporada2020,Jornada 5,17,Real Mallorca,4,5,1,1,3,4,8
Temporada2020,Jornada 5,18,Espanyol,4,5,1,1,3,3,9
Temporada2020,Jornada 5,19,Eibar,2,5,0,2,3,4,7
Temporada2020,Jornada 5,20,Leganés,1,5,0,1,4,2,8
Temporada2020,Jornada 6,1,Real Madrid,14,6,4,2,0,12,6
Temporada2020,Jornada 6,2,Real Sociedad,13,6,4,1,1,10,4
Temporada2020,Jornada 6,3,Atlético Madrid,13,6,4,1,1,7,4
Temporada2020,Jornada 6,4,Athletic Bilbao,12,6,3,3,0,7,2
Temporada2020,Jornada 6,5,Granada,11,6,3,2,1,12,6
Temporada2020,Jornada 6,6,Barcelona,10,6,3,1,2,14,10
Temporada2020,Jornada 6,7,Sevilla,10,6,3,1,2,7,5
Temporada2020,Jornada 6,8,Villarreal,8,6,2,2,2,13,10
Temporada2020,Jornada 6,9,Real Betis,8,6,2,2,2,9,10
Temporada2020,Jornada 6,10,Getafe,7,6,1,4,1,10,9
Temporada2020,Jornada 6,11,Levante,7,6,2,1,3,7,8
Temporada2020,Jornada 6,12,Osasuna,7,6,1,4,1,4,5
Temporada2020,Jornada 6,13,Valencia,6,6,1,3,2,9,11
Temporada2020,Jornada 6,14,Real Valladolid,6,6,1,3,2,5,8
Temporada2020,Jornada 6,15,Celta de Vigo,6,6,1,3,2,4,7
Temporada2020,Jornada 6,16,Eibar,5,6,1,2,3,7,9
Temporada2020,Jornada 6,17,Alavés,5,6,1,2,3,2,7
Temporada2020,Jornada 6,18,Espanyol,5,6,1,2,3,4,10
Temporada2020,Jornada 6,19,Real Mallorca,4,6,1,1,4,4,10
Temporada2020,Jornada 6,20,Leganés,2,6,0,2,4,3,9
Temporada2020,Jornada 7,1,Real Madrid,15,7,4,3,0,12,6
Temporada2020,Jornada 7,2,Atlético Madrid,14,7,4,2,1,7,4
Temporada2020,Jornada 7,3,Granada,14,7,4,2,1,13,6
Temporada2020,Jornada 7,4,Barcelona,13,7,4,1,2,16,10
Temporada2020,Jornada 7,5,Real Sociedad,13,7,4,1,2,12,7
Temporada2020,Jornada 7,6,Sevilla,13,7,4,1,2,10,7
Temporada2020,Jornada 7,7,Athletic Bilbao,12,7,3,3,1,7,3
Temporada2020,Jornada 7,8,Villarreal,11,7,3,2,2,18,11
Temporada2020,Jornada 7,9,Valencia,9,7,2,3,2,10,11
Temporada2020,Jornada 7,10,Real Valladolid,9,7,2,3,2,7,8
Temporada2020,Jornada 7,11,Eibar,8,7,2,2,3,9,9
Temporada2020,Jornada 7,12,Levante,8,7,2,2,3,8,9
Temporada2020,Jornada 7,13,Osasuna,8,7,1,5,1,5,6
Temporada2020,Jornada 7,14,Alavés,8,7,2,2,3,4,7
Temporada2020,Jornada 7,15,Real Betis,8,7,2,2,3,10,15
Temporada2020,Jornada 7,16,Getafe,7,7,1,4,2,10,11
Temporada2020,Jornada 7,17,Celta de Vigo,6,7,1,3,3,4,9
Temporada2020,Jornada 7,18,Espanyol,5,7,1,2,4,4,12
Temporada2020,Jornada 7,19,Real Mallorca,4,7,1,1,5,4,12
Temporada2020,Jornada 7,20,Leganés,2,7,0,2,5,3,10
Temporada2020,Jornada 8,1,Real Madrid,18,8,5,3,0,16,8
Temporada2020,Jornada 8,2,Barcelona,16,8,5,1,2,20,10
Temporada2020,Jornada 8,3,Atlético Madrid,15,8,4,3,1,7,4
Temporada2020,Jornada 8,4,Granada,14,8,4,2,2,15,10
Temporada2020,Jornada 8,5,Real Sociedad,13,8,4,1,3,13,9
Temporada2020,Jornada 8,6,Sevilla,13,8,4,1,3,10,11
Temporada2020,Jornada 8,7,Athletic Bilbao,12,8,3,3,2,7,4
Temporada2020,Jornada 8,8,Valencia,12,8,3,3,2,12,12
Temporada2020,Jornada 8,9,Osasuna,11,8,2,5,1,7,7
Temporada2020,Jornada 8,10,Villarreal,11,8,3,2,3,19,13
Temporada2020,Jornada 8,11,Levante,11,8,3,2,3,10,10
Temporada2020,Jornada 8,12,Getafe,10,8,2,4,2,12,12
Temporada2020,Jornada 8,13,Real Valladolid,10,8,2,4,2,7,8
Temporada2020,Jornada 8,14,Eibar,9,8,2,3,3,10,10
Temporada2020,Jornada 8,15,Celta de Vigo,9,8,2,3,3,5,9
Temporada2020,Jornada 8,16,Real Betis,9,8,2,3,3,11,16
Temporada2020,Jornada 8,17,Alavés,8,8,2,2,4,5,9
Temporada2020,Jornada 8,18,Real Mallorca,7,8,2,1,5,6,12
Temporada2020,Jornada 8,19,Espanyol,5,8,1,2,5,4,14
Temporada2020,Jornada 8,20,Leganés,2,8,0,2,6,4,12
Temporada2020,Jornada 9,1,Barcelona,19,9,6,1,2,23,10
Temporada2020,Jornada 9,2,Real Madrid,18,9,5,3,1,16,9
Temporada2020,Jornada 9,3,Granada,17,9,5,2,2,16,10
Temporada2020,Jornada 9,4,Real Sociedad,16,9,5,1,3,16,10
Temporada2020,Jornada 9,5,Atlético Madrid,16,9,4,4,1,8,5
Temporada2020,Jornada 9,6,Sevilla,16,9,5,1,3,11,11
Temporada2020,Jornada 9,7,Villarreal,14,9,4,2,3,20,13
Temporada2020,Jornada 9,8,Athletic Bilbao,13,9,3,4,2,8,5
Temporada2020,Jornada 9,9,Getafe,13,9,3,4,2,14,12
Temporada2020,Jornada 9,10,Valencia,13,9,3,4,2,13,13
Temporada2020,Jornada 9,11,Levante,11,9,3,2,4,10,11
Temporada2020,Jornada 9,12,Real Valladolid,11,9,2,5,2,8,9
Temporada2020,Jornada 9,13,Osasuna,11,9,2,5,2,7,8
Temporada2020,Jornada 9,14,Alavés,11,9,3,2,4,7,9
Temporada2020,Jornada 9,15,Real Mallorca,10,9,3,1,5,7,12
Temporada2020,Jornada 9,16,Eibar,9,9,2,3,4,10,13
Temporada2020,Jornada 9,17,Celta de Vigo,9,9,2,3,4,5,11
Temporada2020,Jornada 9,18,Real Betis,9,9,2,3,4,12,19
Temporada2020,Jornada 9,19,Espanyol,5,9,1,2,6,4,15
Temporada2020,Jornada 9,20,Leganés,2,9,0,2,7,4,14
Temporada2020,Jornada 10,1,Granada,20,10,6,2,2,17,10
Temporada2020,Jornada 10,2,Barcelona,20,10,6,2,2,23,10
Temporada2020,Jornada 10,3,Real Sociedad,19,10,6,1,3,17,10
Temporada2020,Jornada 10,4,Real Madrid,19,10,5,4,1,16,9
Temporada2020,Jornada 10,5,Atlético Madrid,19,10,5,4,1,10,5
Temporada2020,Jornada 10,6,Sevilla,19,10,6,1,3,13,11
Temporada2020,Jornada 10,7,Villarreal,17,10,5,2,3,24,14
Temporada2020,Jornada 10,8,Osasuna,14,10,3,5,2,10,9
Temporada2020,Jornada 10,9,Real Valladolid,14,10,3,5,2,10,9
Temporada2020,Jornada 10,10,Athletic Bilbao,13,10,3,4,3,8,7
Temporada2020,Jornada 10,11,Getafe,13,10,3,4,3,14,14
Temporada2020,Jornada 10,12,Valencia,13,10,3,4,3,14,16
Temporada2020,Jornada 10,13,Alavés,11,10,3,2,5,8,13
Temporada2020,Jornada 10,14,Levante,11,10,3,2,5,10,12
Temporada2020,Jornada 10,15,Real Mallorca,10,10,3,1,6,7,13
Temporada2020,Jornada 10,16,Eibar,9,10,2,3,5,10,15
Temporada2020,Jornada 10,17,Celta de Vigo,9,10,2,3,5,5,12
Temporada2020,Jornada 10,18,Real Betis,9,10,2,3,5,12,20
Temporada2020,Jornada 10,19,Espanyol,8,10,2,2,6,5,15
Temporada2020,Jornada 10,20,Leganés,5,10,1,2,7,5,14
Temporada2020,Jornada 11,1,Barcelona,23,11,7,2,2,28,11
Temporada2020,Jornada 11,2,Real Madrid,22,11,6,4,1,21,9
Temporada2020,Jornada 11,3,Sevilla,20,11,6,2,3,14,12
Temporada2020,Jornada 11,4,Atlético Madrid,20,11,5,5,1,11,6
Temporada2020,Jornada 11,5,Granada,20,11,6,2,3,18,13
Temporada2020,Jornada 11,6,Real Sociedad,19,11,6,1,4,18,12
Temporada2020,Jornada 11,7,Villarreal,17,11,5,2,4,25,16
Temporada2020,Jornada 11,8,Getafe,16,11,4,4,3,17,15
Temporada2020,Jornada 11,9,Athletic Bilbao,16,11,4,4,3,11,7
Temporada2020,Jornada 11,10,Osasuna,15,11,3,6,2,12,11
Temporada2020,Jornada 11,11,Levante,14,11,4,2,5,12,13
Temporada2020,Jornada 11,12,Valencia,14,11,3,5,3,15,17
Temporada2020,Jornada 11,13,Real Valladolid,14,11,3,5,3,11,14
Temporada2020,Jornada 11,14,Eibar,12,11,3,3,5,12,16
Temporada2020,Jornada 11,15,Alavés,12,11,3,3,5,9,14
Temporada2020,Jornada 11,16,Real Betis,12,11,3,3,5,14,21
Temporada2020,Jornada 11,17,Real Mallorca,11,11,3,2,6,9,15
Temporada2020,Jornada 11,18,Celta de Vigo,9,11,2,3,6,6,14
Temporada2020,Jornada 11,19,Espanyol,8,11,2,2,7,5,18
Temporada2020,Jornada 11,20,Leganés,5,11,1,2,8,5,19
Temporada2020,Jornada 12,1,Real Madrid,23,12,6,5,1,21,9
Temporada2020,Jornada 12,2,Barcelona,23,12,7,2,3,29,14
Temporada2020,Jornada 12,3,Real Sociedad,22,12,7,1,4,20,13
Temporada2020,Jornada 12,4,Atlético Madrid,21,12,5,6,1,12,7
Temporada2020,Jornada 12,5,Sevilla,21,12,6,3,3,15,13
Temporada2020,Jornada 12,6,Granada,20,12,6,2,4,19,15
Temporada2020,Jornada 12,7,Getafe,19,12,5,4,3,18,15
Temporada2020,Jornada 12,8,Villarreal,18,12,5,3,4,25,16
Temporada2020,Jornada 12,9,Osasuna,18,12,4,6,2,16,13
Temporada2020,Jornada 12,10,Athletic Bilbao,17,12,4,5,3,11,7
Temporada2020,Jornada 12,11,Levante,17,12,5,2,5,15,14
Temporada2020,Jornada 12,12,Real Valladolid,17,12,4,5,3,14,14
Temporada2020,Jornada 12,13,Valencia,17,12,4,5,3,17,18
Temporada2020,Jornada 12,14,Eibar,15,12,4,3,5,14,17
Temporada2020,Jornada 12,15,Real Betis,13,12,3,4,5,14,21
Temporada2020,Jornada 12,16,Alavés,12,12,3,3,6,11,18
Temporada2020,Jornada 12,17,Real Mallorca,11,12,3,2,7,9,18
Temporada2020,Jornada 12,18,Celta de Vigo,9,12,2,3,7,6,15
Temporada2020,Jornada 12,19,Espanyol,8,12,2,2,8,6,20
Temporada2020,Jornada 12,20,Leganés,5,12,1,2,9,6,21
Temporada2020,Jornada 13,1,Real Madrid,26,13,7,5,1,25,9
Temporada2020,Jornada 13,2,Barcelona,26,13,8,2,3,33,15
Temporada2020,Jornada 13,3,Atlético Madrid,24,13,6,6,1,15,8
Temporada2020,Jornada 13,4,Sevilla,24,13,7,3,3,17,14
Temporada2020,Jornada 13,5,Real Sociedad,23,13,7,2,4,21,14
Temporada2020,Jornada 13,6,Athletic Bilbao,20,13,5,5,3,13,8
Temporada2020,Jornada 13,7,Getafe,20,13,5,5,3,18,15
Temporada2020,Jornada 13,8,Granada,20,13,6,2,5,19,17
Temporada2020,Jornada 13,9,Valencia,20,13,5,5,3,19,18
Temporada2020,Jornada 13,10,Osasuna,19,13,4,7,2,16,13
Temporada2020,Jornada 13,11,Villarreal,18,13,5,3,5,26,19
Temporada2020,Jornada 13,12,Levante,17,13,5,2,6,16,16
Temporada2020,Jornada 13,13,Real Valladolid,17,13,4,5,4,14,17
Temporada2020,Jornada 13,14,Alavés,15,13,4,3,6,14,18
Temporada2020,Jornada 13,15,Eibar,15,13,4,3,6,14,21
Temporada2020,Jornada 13,16,Real Mallorca,14,13,4,2,7,12,19
Temporada2020,Jornada 13,17,Real Betis,13,13,3,4,6,15,23
Temporada2020,Jornada 13,18,Celta de Vigo,9,13,2,3,8,7,19
Temporada2020,Jornada 13,19,Espanyol,8,13,2,2,9,7,23
Temporada2020,Jornada 13,20,Leganés,6,13,1,3,9,7,22
Temporada2020,Jornada 14,1,Real Madrid,29,14,8,5,1,28,10
Temporada2020,Jornada 14,2,Barcelona,29,14,9,2,3,35,16
Temporada2020,Jornada 14,3,Sevilla,27,14,8,3,3,18,14
Temporada2020,Jornada 14,4,Atlético Madrid,25,14,6,7,1,16,9
Temporada2020,Jornada 14,5,Athletic Bilbao,23,14,6,5,3,15,9
Temporada2020,Jornada 14,6,Real Sociedad,23,14,7,2,5,22,17
Temporada2020,Jornada 14,7,Getafe,21,14,5,6,3,19,16
Temporada2020,Jornada 14,8,Granada,21,14,6,3,5,20,18
Temporada2020,Jornada 14,9,Valencia,20,14,5,5,4,20,20
Temporada2020,Jornada 14,10,Levante,20,14,6,2,6,18,17
Temporada2020,Jornada 14,11,Osasuna,19,14,4,7,3,17,15
Temporada2020,Jornada 14,12,Villarreal,18,14,5,3,6,27,22
Temporada2020,Jornada 14,13,Alavés,18,14,5,3,6,16,18
Temporada2020,Jornada 14,14,Real Valladolid,17,14,4,5,5,14,18
Temporada2020,Jornada 14,15,Real Betis,16,14,4,4,6,17,24
Temporada2020,Jornada 14,16,Eibar,15,14,4,3,7,14,23
Temporada2020,Jornada 14,17,Real Mallorca,14,14,4,2,8,13,21
Temporada2020,Jornada 14,18,Celta de Vigo,12,14,3,3,8,10,20
Temporada2020,Jornada 14,19,Espanyol,9,14,2,3,9,8,24
Temporada2020,Jornada 14,20,Leganés,6,14,1,3,10,8,24
Temporada2020,Jornada 15,1,Real Madrid,32,15,9,5,1,30,11
Temporada2020,Jornada 15,2,Barcelona,32,15,10,2,3,36,16
Temporada2020,Jornada 15,3,Sevilla,30,15,9,3,3,19,14
Temporada2020,Jornada 15,4,Athletic Bilbao,26,15,7,5,3,17,9
Temporada2020,Jornada 15,5,Real Sociedad,26,15,8,2,5,26,18
Temporada2020,Jornada 15,6,Atlético Madrid,25,15,6,7,2,16,10
Temporada2020,Jornada 15,7,Getafe,24,15,6,6,3,23,16
Temporada2020,Jornada 15,8,Valencia,23,15,6,5,4,22,21
Temporada2020,Jornada 15,9,Osasuna,22,15,5,7,3,21,17
Temporada2020,Jornada 15,10,Granada,21,15,6,3,6,20,20
Temporada2020,Jornada 15,11,Levante,20,15,6,2,7,18,21
Temporada2020,Jornada 15,12,Real Betis,19,15,5,4,6,19,25
Temporada2020,Jornada 15,13,Villarreal,18,15,5,3,7,28,24
Temporada2020,Jornada 15,14,Alavés,18,15,5,3,7,17,20
Temporada2020,Jornada 15,15,Real Valladolid,18,15,4,6,5,14,18
Temporada2020,Jornada 15,16,Eibar,15,15,4,3,8,15,27
Temporada2020,Jornada 15,17,Real Mallorca,14,15,4,2,9,14,23
Temporada2020,Jornada 15,18,Celta de Vigo,13,15,3,4,8,10,20
Temporada2020,Jornada 15,19,Espanyol,9,15,2,3,10,10,28
Temporada2020,Jornada 15,20,Leganés,6,15,1,3,11,8,25
Temporada2020,Jornada 16,1,Real Madrid,35,16,10,5,1,32,11
Temporada2020,Jornada 16,2,Barcelona,35,16,11,2,3,41,18
Temporada2020,Jornada 16,3,Sevilla,31,16,9,4,3,20,15
