plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2017,Real Madrid,13,https://thumb.resfu.com/img_data/players/medium/13234.jpg?size=60x&5,K. Casilla,Portero,33,https://thumb.resfu.com/media/img/1px.gif,191,84,0,0,0
Temporada2017,Real Madrid,1,https://thumb.resfu.com/img_data/players/medium/67500.jpg?size=60x&5,K. Navas,Portero,33,https://thumb.resfu.com/media/img/1px.gif,185,78,0,0,2
Temporada2017,Real Madrid,25,https://thumb.resfu.com/img_data/players/medium/115129.jpg?size=60x&5,Rubén Yáñez,Portero,26,https://thumb.resfu.com/media/img/1px.gif,188,80,0,0,0
Temporada2017,Real Madrid,27,https://thumb.resfu.com/img_data/players/medium/136584.jpg?size=60x&5,Á. Tejero,Defensa,23,https://thumb.resfu.com/media/img/1px.gif,174,68,0,0,0
Temporada2017,Real Madrid,32,https://thumb.resfu.com/img_data/players/medium/283900.jpg?size=60x&5,Achraf,Defensa,21,https://thumb.resfu.com/media/img/1px.gif,179,68,0,0,0
Temporada2017,Real Madrid,2,https://thumb.resfu.com/img_data/players/medium/74892.jpg?size=60x&5,D. Carvajal,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,173,70,0,0,11
Temporada2017,Real Madrid,23,https://thumb.resfu.com/img_data/players/medium/82937.jpg?size=60x&5,Danilo,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,184,73,1,0,2
Temporada2017,Real Madrid,15,https://thumb.resfu.com/img_data/players/medium/22230.jpg?size=60x&5,F. Coentrão,Defensa,32,https://thumb.resfu.com/media/img/1px.gif,178,66,0,0,0
Temporada2017,Real Madrid,12,https://thumb.resfu.com/img_data/players/medium/23343.jpg?size=60x&5,Marcelo,Defensa,31,https://thumb.resfu.com/media/img/1px.gif,174,73,2,0,2
Temporada2017,Real Madrid,6,https://thumb.resfu.com/img_data/players/medium/102322.jpg?size=60x&5,Nacho,Defensa,30,https://thumb.resfu.com/media/img/1px.gif,180,76,2,0,5
Temporada2017,Real Madrid,3,https://thumb.resfu.com/img_data/players/medium/27010.jpg?size=60x&5,Pepe,Defensa,37,https://thumb.resfu.com/media/img/1px.gif,186,72,2,0,1
Temporada2017,Real Madrid,5,https://thumb.resfu.com/img_data/players/medium/103053.jpg?size=60x&5,R. Varane,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,191,76,1,0,1
Temporada2017,Real Madrid,4,https://thumb.resfu.com/img_data/players/medium/23341.jpg?size=60x&5,Sergio Ramos,Defensa,33,https://thumb.resfu.com/media/img/1px.gif,183,73,7,1,8
