Temporada,Jornada,Equipo,Jugador,Estado,Cambio,Gol,Amarilla,Roja,Asistencia,Lesion
Temporada2020,Jornada 12,Liverpool,Alisson,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,V. Van Dijk,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,D. Lovren,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,A. Robertson,Titular,,0,0,0,1,0
Temporada2020,Jornada 12,Liverpool,Alexander-Arnold,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,Fabinho,Titular,,1,0,0,0,0
Temporada2020,Jornada 12,Liverpool,G. Wijnaldum,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,J. Henderson,Titular,61,0,0,0,1,0
Temporada2020,Jornada 12,Liverpool,S. Mané,Titular,,1,0,0,0,0
Temporada2020,Jornada 12,Liverpool,R. Firmino,Titular,79,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,M. Salah,Titular,87,1,0,0,0,0
Temporada2020,Jornada 12,Liverpool,Adrián,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,J. Gomez,Suplente,87,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,A. Oxlade-Chamberlain,Suplente,79,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,N. Keïta,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,J. Milner,Suplente,61,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,A. Lallana,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Liverpool,D. Origi,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,C. Bravo,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,J. Stones,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,Angeliño,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,K. Walker,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,Fernandinho,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,Rodrigo,Titular,,0,1,0,0,0
Temporada2020,Jornada 12,Man. City,I. Gündogan,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,K. De Bruyne,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,R. Sterling,Titular,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,S. Agüero,Titular,71,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,Bernardo Silva,Titular,,1,0,0,0,0
Temporada2020,Jornada 12,Man. City,S. Carson,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,N. Otamendi,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,J. Cancelo,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,D. Silva,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,P. Foden,Suplente,,0,0,0,0,0
Temporada2020,Jornada 12,Man. City,Gabriel Jesus,Suplente,71,0,1,0,0,0
Temporada2020,Jornada 12,Man. City,R. Mahrez,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,Adrián,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,V. Van Dijk,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,D. Lovren,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,A. Robertson,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,Alexander-Arnold,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,Fabinho,Titular,,0,1,0,0,0
Temporada2020,Jornada 8,Liverpool,G. Wijnaldum,Titular,78,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,J. Milner,Titular,,1,0,0,1,0
Temporada2020,Jornada 8,Liverpool,S. Mané,Titular,,1,0,0,0,0
Temporada2020,Jornada 8,Liverpool,R. Firmino,Titular,78,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,M. Salah,Titular,92,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,C. Kelleher,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,J. Gomez,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,N. Keïta,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,A. Lallana,Suplente,92,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,J. Henderson,Suplente,78,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,H. Elliott,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Liverpool,D. Origi,Suplente,78,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,K. Schmeichel,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,C. Söyüncü,Titular,,0,1,0,0,0
Temporada2020,Jornada 8,Leicester,J. Evans,Titular,,0,1,0,0,0
Temporada2020,Jornada 8,Leicester,B. Chilwell,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,Ricardo Pereira,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,W. Ndidi,Titular,,0,1,0,0,0
Temporada2020,Jornada 8,Leicester,D. Praet,Titular,73,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,Y. Tielemans,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,H. Barnes,Titular,46,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,J. Maddison,Titular,86,1,0,0,0,0
Temporada2020,Jornada 8,Leicester,J. Vardy,Titular,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,D. Ward,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,J. Justin,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,W. Morgan,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,M. Albrighton,Suplente,46,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,H. Choudhury,Suplente,86,0,1,0,0,0
Temporada2020,Jornada 8,Leicester,D. Gray,Suplente,,0,0,0,0,0
Temporada2020,Jornada 8,Leicester,Ayoze,Suplente,73,0,0,0,1,0
Temporada2020,Jornada 23,Liverpool,Alisson,Titular,,0,0,0,1,0
Temporada2020,Jornada 23,Liverpool,V. Van Dijk,Titular,,1,0,0,0,0
Temporada2020,Jornada 23,Liverpool,J. Gomez,Titular,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,A. Robertson,Titular,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,Alexander-Arnold,Titular,,0,0,0,1,0
Temporada2020,Jornada 23,Liverpool,J. Henderson,Titular,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,G. Wijnaldum,Titular,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,A. Oxlade-Chamberlain,Titular,66,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,S. Mané,Titular,83,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,R. Firmino,Titular,83,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,M. Salah,Titular,,1,1,0,0,0
Temporada2020,Jornada 23,Liverpool,Adrián,Suplente,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,J. Matip,Suplente,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,A. Lallana,Suplente,66,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,C. Jones,Suplente,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,Fabinho,Suplente,83,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,T. Minamino,Suplente,,0,0,0,0,0
Temporada2020,Jornada 23,Liverpool,D. Origi,Suplente,83,0,0,0,0,0
Temporada2020,Jornada 23,Man. Utd,D. De Gea,Titular,,0,1,0,0,0
Temporada2020,Jornada 23,Man. Utd,H. Maguire,Titular,,0,0,0,0,0
Temporada2020,Jornada 23,Man. Utd,L. Shaw,Titular,87,0,1,0,0,0
