TEMPORADA,JORNADA,REFERIDO,LOCAL,VISITANTE,RESULTADO,RIVALIDAD,ROTACION TITULARES,ROTACION SUPLENTES,ROTACION PORTEROS,ROTACION DEFENSAS,ROTACION MEDIOS,ROTACION DELANTEROS,DIAS DESCANSO
Temporada2020,Jornada 1,LOCAL,Liverpool,Norwich City,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Liverpool,Norwich City,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,West Ham,Man. City,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,West Ham,Man. City,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,AFC Bournemouth,Sheffield United,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,AFC Bournemouth,Sheffield United,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Burnley,Southampton,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Burnley,Southampton,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Crystal Palace,Everton,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Crystal Palace,Everton,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Leicester,Wolves,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Leicester,Wolves,EMPATADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Watford,Brighton Hove A.,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Watford,Brighton Hove A.,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Tottenham,Aston Villa,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Tottenham,Aston Villa,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Newcastle,Arsenal,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Newcastle,Arsenal,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,LOCAL,Man. Utd,Chelsea,GANADO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 1,VISITANTE,Man. Utd,Chelsea,PERDIDO,0,0,0,0,0,0,0,0
Temporada2020,Jornada 2,LOCAL,Arsenal,Burnley,GANADO,2,3,3,0,1,1,1,6
Temporada2020,Jornada 2,VISITANTE,Arsenal,Burnley,PERDIDO,-2,11,7,1,4,3,3,7
Temporada2020,Jornada 2,LOCAL,Aston Villa,AFC Bournemouth,PERDIDO,7,1,2,0,0,1,0,7
Temporada2020,Jornada 2,VISITANTE,Aston Villa,AFC Bournemouth,GANADO,-7,2,3,0,2,1,0,7
Temporada2020,Jornada 2,LOCAL,Brighton Hove A.,West Ham,EMPATADO,-16,11,7,1,0,0,0,7
Temporada2020,Jornada 2,VISITANTE,Brighton Hove A.,West Ham,EMPATADO,16,5,5,0,2,2,2,7
Temporada2020,Jornada 2,LOCAL,Chelsea,Leicester,EMPATADO,7,3,4,0,0,2,2,7
Temporada2020,Jornada 2,VISITANTE,Chelsea,Leicester,EMPATADO,-7,1,0,0,1,0,0,7
Temporada2020,Jornada 2,LOCAL,Everton,Watford,GANADO,-7,1,2,0,0,1,0,7
Temporada2020,Jornada 2,VISITANTE,Everton,Watford,PERDIDO,7,1,3,0,0,1,1,7
Temporada2020,Jornada 2,LOCAL,Man. City,Tottenham,EMPATADO,-5,4,4,0,1,1,2,7
Temporada2020,Jornada 2,VISITANTE,Man. City,Tottenham,EMPATADO,5,11,7,1,0,0,0,7
Temporada2020,Jornada 2,LOCAL,Norwich City,Newcastle,GANADO,2,1,5,0,0,1,0,8
Temporada2020,Jornada 2,VISITANTE,Norwich City,Newcastle,PERDIDO,-2,2,2,0,1,1,0,6
Temporada2020,Jornada 2,LOCAL,Sheffield United,Crystal Palace,GANADO,-1,0,0,0,0,0,0,8
Temporada2020,Jornada 2,VISITANTE,Sheffield United,Crystal Palace,PERDIDO,1,1,3,0,0,0,1,8
Temporada2020,Jornada 2,LOCAL,Southampton,Liverpool,PERDIDO,14,11,7,1,4,4,1,7
Temporada2020,Jornada 2,VISITANTE,Southampton,Liverpool,GANADO,-14,5,6,1,1,2,1,8
Temporada2020,Jornada 2,LOCAL,Wolves,Man. Utd,EMPATADO,11,0,1,0,0,0,0,8
Temporada2020,Jornada 2,VISITANTE,Wolves,Man. Utd,EMPATADO,-11,1,2,0,0,1,1,8
Temporada2020,Jornada 3,LOCAL,Aston Villa,Everton,GANADO,8,2,2,0,1,1,1,6
Temporada2020,Jornada 3,VISITANTE,Aston Villa,Everton,PERDIDO,-8,1,2,0,0,1,0,6
Temporada2020,Jornada 3,LOCAL,AFC Bournemouth,Man. City,PERDIDO,4,1,2,0,1,1,0,1
Temporada2020,Jornada 3,VISITANTE,AFC Bournemouth,Man. City,GANADO,-4,1,2,0,0,1,0,8
Temporada2020,Jornada 3,LOCAL,Brighton Hove A.,Southampton,PERDIDO,-14,11,7,1,0,0,0,7
Temporada2020,Jornada 3,VISITANTE,Brighton Hove A.,Southampton,GANADO,14,11,7,1,4,4,1,7
Temporada2020,Jornada 3,LOCAL,Liverpool,Arsenal,GANADO,-1,2,3,0,0,2,0,7
Temporada2020,Jornada 3,VISITANTE,Liverpool,Arsenal,PERDIDO,1,2,3,0,0,1,2,7
Temporada2020,Jornada 3,LOCAL,Man. Utd,Crystal Palace,PERDIDO,-10,0,1,0,0,0,0,5
Temporada2020,Jornada 3,VISITANTE,Man. Utd,Crystal Palace,GANADO,10,4,5,0,1,2,2,6
Temporada2020,Jornada 3,LOCAL,Norwich City,Chelsea,PERDIDO,-4,0,3,0,0,0,0,7
Temporada2020,Jornada 3,VISITANTE,Norwich City,Chelsea,GANADO,4,3,3,0,0,2,2,6
Temporada2020,Jornada 3,LOCAL,Sheffield United,Leicester,PERDIDO,-4,1,1,0,0,1,0,6
Temporada2020,Jornada 3,VISITANTE,Sheffield United,Leicester,GANADO,4,1,2,0,0,1,0,6
Temporada2020,Jornada 3,LOCAL,Tottenham,Newcastle,PERDIDO,-12,11,7,1,0,0,0,8
Temporada2020,Jornada 3,VISITANTE,Tottenham,Newcastle,GANADO,12,2,2,0,0,1,1,8
Temporada2020,Jornada 3,LOCAL,Watford,West Ham,PERDIDO,4,2,2,0,0,1,1,7
Temporada2020,Jornada 3,VISITANTE,Watford,West Ham,GANADO,-4,4,2,0,0,3,3,7
Temporada2020,Jornada 3,LOCAL,Wolves,Burnley,EMPATADO,3,1,3,0,0,1,0,6
Temporada2020,Jornada 3,VISITANTE,Wolves,Burnley,EMPATADO,-3,0,2,0,0,0,0,8
Temporada2020,Jornada 4,LOCAL,Arsenal,Tottenham,EMPATADO,-4,3,4,0,1,2,1,8
Temporada2020,Jornada 4,VISITANTE,Arsenal,Tottenham,EMPATADO,4,11,7,1,0,0,0,7
Temporada2020,Jornada 4,LOCAL,Burnley,Liverpool,PERDIDO,5,1,1,0,0,1,1,3
Temporada2020,Jornada 4,VISITANTE,Burnley,Liverpool,GANADO,-5,0,0,0,0,0,0,7
Temporada2020,Jornada 4,LOCAL,Chelsea,Sheffield United,EMPATADO,4,1,2,0,1,0,0,7
Temporada2020,Jornada 4,VISITANTE,Chelsea,Sheffield United,EMPATADO,-4,1,3,0,0,0,1,4
Temporada2020,Jornada 4,LOCAL,Crystal Palace,Aston Villa,GANADO,-6,0,2,0,0,0,0,4
Temporada2020,Jornada 4,VISITANTE,Crystal Palace,Aston Villa,PERDIDO,6,0,0,0,0,0,0,4
Temporada2020,Jornada 4,LOCAL,Everton,Wolves,GANADO,-3,3,4,0,0,1,2,4
Temporada2020,Jornada 4,VISITANTE,Everton,Wolves,PERDIDO,3,5,5,0,2,2,1,7
Temporada2020,Jornada 4,LOCAL,Leicester,AFC Bournemouth,GANADO,-7,4,4,0,1,3,1,3
Temporada2020,Jornada 4,VISITANTE,Leicester,AFC Bournemouth,PERDIDO,7,1,1,0,1,1,0,3
Temporada2020,Jornada 4,LOCAL,Man. City,Brighton Hove A.,GANADO,-6,2,3,0,0,1,1,6
Temporada2020,Jornada 4,VISITANTE,Man. City,Brighton Hove A.,PERDIDO,6,11,7,1,0,0,0,4
Temporada2020,Jornada 4,LOCAL,Newcastle,Watford,EMPATADO,-1,2,2,0,1,1,1,3
Temporada2020,Jornada 4,VISITANTE,Newcastle,Watford,EMPATADO,1,3,3,0,2,1,1,4
Temporada2020,Jornada 4,LOCAL,Southampton,Man. Utd,EMPATADO,13,11,7,1,4,4,2,4
Temporada2020,Jornada 4,VISITANTE,Southampton,Man. Utd,EMPATADO,-13,3,3,0,1,2,2,7
Temporada2020,Jornada 4,LOCAL,West Ham,Norwich City,GANADO,-3,0,2,0,0,0,0,4
Temporada2020,Jornada 4,VISITANTE,West Ham,Norwich City,PERDIDO,3,1,3,0,1,0,0,4
Temporada2020,Jornada 5,LOCAL,Aston Villa,West Ham,EMPATADO,11,2,1,0,0,2,1,16
Temporada2020,Jornada 5,VISITANTE,Aston Villa,West Ham,EMPATADO,-11,0,2,0,0,0,0,16
Temporada2020,Jornada 5,LOCAL,AFC Bournemouth,Everton,GANADO,9,4,3,0,2,1,1,15
Temporada2020,Jornada 5,VISITANTE,AFC Bournemouth,Everton,PERDIDO,-9,2,3,0,0,2,1,14
Temporada2020,Jornada 5,LOCAL,Brighton Hove A.,Burnley,EMPATADO,4,11,7,1,0,0,0,14
Temporada2020,Jornada 5,VISITANTE,Brighton Hove A.,Burnley,EMPATADO,-4,0,3,0,0,0,0,14
Temporada2020,Jornada 5,LOCAL,Liverpool,Newcastle,GANADO,-13,2,2,0,0,1,1,14
Temporada2020,Jornada 5,VISITANTE,Liverpool,Newcastle,PERDIDO,13,1,2,0,0,1,0,14
Temporada2020,Jornada 5,LOCAL,Man. Utd,Leicester,GANADO,5,1,3,0,0,1,0,14
Temporada2020,Jornada 5,VISITANTE,Man. Utd,Leicester,PERDIDO,-5,2,3,0,0,2,1,14
Temporada2020,Jornada 5,LOCAL,Norwich City,Man. City,GANADO,17,4,6,0,2,2,0,14
Temporada2020,Jornada 5,VISITANTE,Norwich City,Man. City,PERDIDO,-17,3,3,0,1,1,1,14
Temporada2020,Jornada 5,LOCAL,Sheffield United,Southampton,PERDIDO,-3,11,7,1,5,3,1,14
Temporada2020,Jornada 5,VISITANTE,Sheffield United,Southampton,GANADO,3,11,7,1,4,4,2,14
Temporada2020,Jornada 5,LOCAL,Tottenham,Crystal Palace,GANADO,5,11,7,1,0,0,0,13
Temporada2020,Jornada 5,VISITANTE,Tottenham,Crystal Palace,PERDIDO,-5,2,3,0,1,1,1,14
Temporada2020,Jornada 5,LOCAL,Watford,Arsenal,EMPATADO,15,3,4,0,2,1,1,15
Temporada2020,Jornada 5,VISITANTE,Watford,Arsenal,EMPATADO,-15,2,3,0,0,2,1,14
Temporada2020,Jornada 5,LOCAL,Wolves,Chelsea,PERDIDO,6,4,5,1,3,1,1,13
Temporada2020,Jornada 5,VISITANTE,Wolves,Chelsea,GANADO,-6,4,4,0,3,1,1,14
Temporada2020,Jornada 6,LOCAL,Arsenal,Aston Villa,GANADO,-10,1,1,0,0,1,0,3
Temporada2020,Jornada 6,VISITANTE,Arsenal,Aston Villa,PERDIDO,10,1,1,0,0,1,0,6
Temporada2020,Jornada 6,LOCAL,Burnley,Norwich City,GANADO,1,1,3,0,0,1,0,7
Temporada2020,Jornada 6,VISITANTE,Burnley,Norwich City,PERDIDO,-1,0,4,0,0,0,0,7
Temporada2020,Jornada 6,LOCAL,Chelsea,Liverpool,PERDIDO,5,2,1,0,2,1,0,5
Temporada2020,Jornada 6,VISITANTE,Chelsea,Liverpool,GANADO,-5,2,2,0,0,1,1,5
Temporada2020,Jornada 6,LOCAL,Crystal Palace,Wolves,EMPATADO,-7,1,3,0,0,1,1,8
Temporada2020,Jornada 6,VISITANTE,Crystal Palace,Wolves,EMPATADO,7,2,4,1,2,1,0,3
Temporada2020,Jornada 6,LOCAL,Everton,Sheffield United,PERDIDO,-4,2,3,0,0,0,2,6
Temporada2020,Jornada 6,VISITANTE,Everton,Sheffield United,GANADO,4,11,7,1,5,3,1,7
Temporada2020,Jornada 6,LOCAL,Leicester,Tottenham,GANADO,2,2,2,0,0,1,1,7
Temporada2020,Jornada 6,VISITANTE,Leicester,Tottenham,PERDIDO,-2,11,7,1,0,0,0,3
Temporada2020,Jornada 6,LOCAL,Man. City,Watford,GANADO,-18,4,4,0,2,2,1,3
Temporada2020,Jornada 6,VISITANTE,Man. City,Watford,PERDIDO,18,2,2,0,1,0,1,6
Temporada2020,Jornada 6,LOCAL,Newcastle,Brighton Hove A.,EMPATADO,2,1,4,0,1,0,0,7
Temporada2020,Jornada 6,VISITANTE,Newcastle,Brighton Hove A.,EMPATADO,-2,11,7,1,0,0,0,7
Temporada2020,Jornada 6,LOCAL,Southampton,AFC Bournemouth,PERDIDO,1,11,7,1,4,5,1,6
Temporada2020,Jornada 6,VISITANTE,Southampton,AFC Bournemouth,GANADO,-1,1,1,0,0,1,0,5
Temporada2020,Jornada 6,LOCAL,West Ham,Man. Utd,GANADO,4,2,2,0,1,1,0,6
Temporada2020,Jornada 6,VISITANTE,West Ham,Man. Utd,PERDIDO,-4,0,2,0,0,0,0,3
Temporada2020,Jornada 7,LOCAL,Aston Villa,Burnley,EMPATADO,9,2,3,0,1,1,0,3
Temporada2020,Jornada 7,VISITANTE,Aston Villa,Burnley,EMPATADO,-9,0,3,0,0,0,0,7
Temporada2020,Jornada 7,LOCAL,AFC Bournemouth,West Ham,EMPATADO,1,0,2,0,0,0,0,3
Temporada2020,Jornada 7,VISITANTE,AFC Bournemouth,West Ham,EMPATADO,-1,0,2,0,0,0,0,3
Temporada2020,Jornada 7,LOCAL,Chelsea,Brighton Hove A.,GANADO,-4,3,4,0,1,2,1,3
Temporada2020,Jornada 7,VISITANTE,Chelsea,Brighton Hove A.,PERDIDO,4,11,7,1,0,0,0,3
Temporada2020,Jornada 7,LOCAL,Crystal Palace,Norwich City,GANADO,-4,1,1,0,1,0,0,6
Temporada2020,Jornada 7,VISITANTE,Crystal Palace,Norwich City,PERDIDO,4,3,4,1,1,1,0,7
Temporada2020,Jornada 7,LOCAL,Everton,Man. City,PERDIDO,12,2,3,0,0,0,2,4
Temporada2020,Jornada 7,VISITANTE,Everton,Man. City,GANADO,-12,4,5,0,1,1,2,4
Temporada2020,Jornada 7,LOCAL,Leicester,Newcastle,GANADO,-14,1,1,0,0,1,0,5
Temporada2020,Jornada 7,VISITANTE,Leicester,Newcastle,PERDIDO,14,3,3,0,2,1,1,8
Temporada2020,Jornada 7,LOCAL,Man. Utd,Arsenal,EMPATADO,4,3,5,0,1,2,1,5
Temporada2020,Jornada 7,VISITANTE,Man. Utd,Arsenal,EMPATADO,-4,2,3,0,1,2,0,6
Temporada2020,Jornada 7,LOCAL,Sheffield United,Liverpool,PERDIDO,9,0,2,0,0,0,0,3
Temporada2020,Jornada 7,VISITANTE,Sheffield United,Liverpool,GANADO,-9,0,2,0,0,0,0,3
Temporada2020,Jornada 7,LOCAL,Tottenham,Southampton,GANADO,-6,11,7,1,0,0,0,4
Temporada2020,Jornada 7,VISITANTE,Tottenham,Southampton,PERDIDO,6,11,7,1,4,5,1,4
Temporada2020,Jornada 7,LOCAL,Wolves,Watford,GANADO,-1,1,3,0,0,0,1,3
Temporada2020,Jornada 7,VISITANTE,Wolves,Watford,PERDIDO,1,4,2,0,2,1,2,4
Temporada2020,Jornada 8,LOCAL,Arsenal,AFC Bournemouth,GANADO,-4,1,2,0,0,1,0,3
