Liga,Temporada,Jornada,Equipo,Posicion,Puntos,Goles a Favor,Goles en Contra,Local/Visitante,Resultado,Goles en Partido,Cambios realizados partido,Cambios realizados acumulados,Cambios realizados portero partido,Cambios realizados portero acumulados,Cambios realizados defensa partido,Cambios realizados defensa acumulados,Cambios realizados centrocampista partido,Cambios realizados centrocampista acumulados,Cambios realizados delantero partido,Cambios realizados delantero acumulados,Media minuto cambio partido,Media minuto cambio acumulado,Cambio jugador más asistencias partido,Cambio jugador más goles partido,Cambio jugador lesion partido,Cambio jugador amarilla partido,Cambio jugador roja partido,Titulares cambiados respecto jornada anterior,Cambio goleador jornada anterior,Cambio amarilla jornada anterior,Cambio roja jornada anterior,Cambio lesion jornada anterior,Lesiones en partido,Lesiones acumuladas,Amarillas partido,Amarillas acumuladas,Rojas partido,Rojas acumuladas,Posicion Local prepartido,Puntos local prepartido,Rival,Posicion rival,Puntos rival,Edad media,Peso medio,Altura media,Jornada intermedia
Premier League,Temporada2020,Jornada 1,Man. City,1,3,5,0,VISITANTE,0 - 5, 5,3,0,0,0,0,0,2,0,1,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,West Ham,,,26,72,180,0
Premier League,Temporada2020,Jornada 1,Man. Utd,2,3,4,0,LOCAL,4 - 0,4 ,3,0,0,0,0,0,1,0,2,0,82,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Chelsea,,,25,75,185,0
Premier League,Temporada2020,Jornada 1,Liverpool,3,3,4,1,LOCAL,4 - 1,4 ,3,0,1,0,0,0,0,0,2,0,66,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,Norwich City,,,26,75,183,0
Premier League,Temporada2020,Jornada 1,Brighton Hove A.,4,3,3,0,VISITANTE,0 - 3, 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Watford,,,,,,0
Premier League,Temporada2020,Jornada 1,Burnley,5,3,3,0,LOCAL,3 - 0,3 ,2,0,0,0,0,0,1,0,1,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Southampton,,,28,76,182,0
Premier League,Temporada2020,Jornada 1,Tottenham,6,3,3,1,LOCAL,3 - 1,3 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Aston Villa,,,,,,0
Premier League,Temporada2020,Jornada 1,Arsenal,7,3,1,0,VISITANTE,0 - 1, 1,3,0,0,0,0,0,1,0,1,0,73,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,,,Newcastle,,,25,73,181,0
Premier League,Temporada2020,Jornada 1,AFC Bournemouth,8,1,1,1,LOCAL,1 - 1,1 ,1,0,0,0,0,0,0,0,1,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Sheffield United,,,25,74,181,0
Premier League,Temporada2020,Jornada 1,Sheffield United,9,1,1,1,VISITANTE,1 - 1, 1,3,0,0,0,1,0,1,0,1,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,AFC Bournemouth,,,27,76,181,0
Premier League,Temporada2020,Jornada 1,Crystal Palace,10,1,0,0,LOCAL,0 - 0,0 ,2,0,0,0,0,0,0,0,2,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,Everton,,,29,75,184,0
Premier League,Temporada2020,Jornada 1,Everton,11,1,0,0,VISITANTE,0 - 0, 0,3,0,0,0,0,0,2,0,1,0,64,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,,,Crystal Palace,,,26,70,180,0
Premier League,Temporada2020,Jornada 1,Leicester,12,1,0,0,LOCAL,0 - 0,0 ,2,0,0,0,0,0,1,0,1,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Wolves,,,26,74,180,0
Premier League,Temporada2020,Jornada 1,Wolves,13,1,0,0,VISITANTE,0 - 0, 0,2,0,0,0,0,0,1,0,1,0,78,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Leicester,,,27,76,182,0
Premier League,Temporada2020,Jornada 1,Newcastle,14,0,0,1,LOCAL,0 - 1,0 ,2,0,0,0,0,0,2,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,Arsenal,,,26,74,182,0
Premier League,Temporada2020,Jornada 1,Aston Villa,15,0,1,3,VISITANTE,3 - 1, 1,3,0,0,0,0,0,1,0,2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Tottenham,,,27,76,184,0
Premier League,Temporada2020,Jornada 1,Norwich City,16,0,1,4,VISITANTE,4 - 1, 1,3,0,0,0,0,0,2,0,1,0,70,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,,,Liverpool,,,25,72,179,0
Premier League,Temporada2020,Jornada 1,Southampton,17,0,0,3,VISITANTE,3 - 0, 0,3,0,0,0,1,0,0,0,2,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Burnley,,,25,77,182,0
Premier League,Temporada2020,Jornada 1,Watford,18,0,0,3,LOCAL,0 - 3,0 ,2,0,0,0,0,0,0,0,2,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Brighton Hove A.,,,30,76,183,0
Premier League,Temporada2020,Jornada 1,Chelsea,19,0,0,4,VISITANTE,4 - 0, 0,3,0,0,0,0,0,2,0,1,0,65,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,,,Man. Utd,,,25,71,182,0
Premier League,Temporada2020,Jornada 1,West Ham,20,0,0,5,LOCAL,0 - 5,0 ,3,0,0,0,0,0,1,0,2,0,56,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,,,Man. City,,,27,75,180,0
Premier League,Temporada2020,Jornada 2,Liverpool,1,6,6,2,VISITANTE,1 - 2, 2,3,3,0,1,0,0,2,0,1,2,80,66,0,0,0,0,0,5,1,0,0,1,0,1,1,0,0,0,3,3,Southampton,17,0,28,74,180,0
Premier League,Temporada2020,Jornada 2,Arsenal,2,6,3,1,LOCAL,2 - 1,2 ,3,3,0,0,0,0,1,1,2,1,66,73,0,0,0,0,0,3,1,1,0,0,0,0,2,3,0,0,7,3,Burnley,5,3,25,75,181,0
Premier League,Temporada2020,Jornada 2,Man. City,3,4,7,2,LOCAL,2 - 2,2 ,3,3,0,0,0,0,1,2,2,1,74,76,0,0,0,0,0,4,1,0,0,0,0,0,1,2,0,0,1,3,Tottenham,6,3,27,75,180,0
Premier League,Temporada2020,Jornada 2,Man. Utd,4,4,5,1,VISITANTE,1 - 1, 1,3,3,0,0,0,0,0,1,3,2,86,82,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,0,2,3,Wolves,13,1,24,75,185,0
Premier League,Temporada2020,Jornada 2,Brighton Hove A.,5,4,4,1,LOCAL,1 - 1,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,West Ham,20,0,,,,0
Premier League,Temporada2020,Jornada 2,Tottenham,6,4,5,3,VISITANTE,2 - 2, 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,Man. City,1,3,,,,0
Premier League,Temporada2020,Jornada 2,AFC Bournemouth,7,4,3,2,VISITANTE,1 - 2, 2,2,1,0,0,0,0,2,0,0,1,61,90,0,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0,8,1,Aston Villa,15,0,26,73,179,0
Premier League,Temporada2020,Jornada 2,Sheffield United,8,4,2,1,LOCAL,1 - 0,1 ,3,3,0,0,0,1,1,1,1,1,58,74,0,0,1,1,0,0,0,0,0,0,2,0,3,1,0,0,9,1,Crystal Palace,10,1,27,76,181,0
Premier League,Temporada2020,Jornada 2,Everton,9,4,1,0,LOCAL,1 - 0,1 ,3,3,0,0,1,0,0,2,2,1,69,64,0,0,0,0,0,1,1,0,0,0,0,1,2,1,0,0,11,1,Watford,18,0,26,72,181,0
Premier League,Temporada2020,Jornada 2,Burnley,10,3,4,2,VISITANTE,2 - 1, 1,2,2,0,0,0,0,0,1,2,1,66,84,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,Arsenal,7,3,28,76,182,0
Premier League,Temporada2020,Jornada 2,Norwich City,11,3,4,5,LOCAL,3 - 1,3 ,3,3,0,0,1,0,2,2,0,1,87,70,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,16,0,Newcastle,14,0,25,71,179,0
Premier League,Temporada2020,Jornada 2,Wolves,12,2,1,1,LOCAL,1 - 1,1 ,3,2,0,0,1,0,0,1,2,1,74,78,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,13,1,Man. Utd,2,3,27,76,182,0
Premier League,Temporada2020,Jornada 2,Leicester,13,2,1,1,VISITANTE,1 - 1, 1,2,2,0,0,0,0,1,1,1,1,76,68,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,1,Chelsea,19,0,27,74,180,0
Premier League,Temporada2020,Jornada 2,Crystal Palace,14,1,0,1,VISITANTE,1 - 0, 0,3,2,0,0,0,0,2,0,1,2,72,74,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,10,1,Sheffield United,9,1,29,74,183,0
Premier League,Temporada2020,Jornada 2,Chelsea,15,1,1,5,LOCAL,1 - 1,1 ,3,3,0,0,0,0,1,2,2,1,67,65,0,0,0,1,0,3,0,0,0,0,0,0,1,4,0,0,19,0,Leicester,12,1,26,70,179,0
Premier League,Temporada2020,Jornada 2,West Ham,16,1,1,6,VISITANTE,1 - 1, 1,3,3,0,0,0,0,2,1,0,2,68,56,0,0,0,0,0,5,1,1,0,1,0,1,2,2,0,0,20,0,Brighton Hove A.,4,3,27,74,181,0
Premier League,Temporada2020,Jornada 2,Aston Villa,17,0,2,5,LOCAL,1 - 2,1 ,2,3,0,0,0,0,0,1,2,2,81,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,AFC Bournemouth,8,1,26,76,184,0
Premier League,Temporada2020,Jornada 2,Newcastle,18,0,1,4,VISITANTE,3 - 1, 1,2,2,0,0,0,0,0,2,1,0,70,60,0,0,0,1,0,2,0,0,0,0,0,0,3,1,0,0,14,0,Norwich City,16,0,27,74,182,0
Premier League,Temporada2020,Jornada 2,Southampton,19,0,1,5,LOCAL,1 - 2,1 ,3,3,0,0,1,1,1,0,1,2,70,70,0,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,17,0,Liverpool,3,3,25,77,183,0
Premier League,Temporada2020,Jornada 2,Watford,20,0,0,4,VISITANTE,1 - 0, 0,3,2,0,0,0,0,2,0,1,2,76,60,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,18,0,Everton,11,1,30,76,183,0
Premier League,Temporada2020,Jornada 3,Liverpool,1,9,9,3,LOCAL,3 - 1,3 ,3,6,0,1,0,0,1,2,2,3,77,73,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,0,1,6,Arsenal,2,6,27,74,182,0
Premier League,Temporada2020,Jornada 3,Man. City,2,7,10,3,VISITANTE,1 - 3, 3,3,6,0,0,1,0,1,3,1,3,76,75,0,0,0,1,0,1,0,0,0,0,0,0,3,3,0,0,3,4,AFC Bournemouth,7,4,28,74,178,0
Premier League,Temporada2020,Jornada 3,Arsenal,3,6,4,4,VISITANTE,3 - 1, 1,3,6,0,0,0,0,3,2,0,3,76,69,0,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,2,6,Liverpool,1,6,26,75,181,0
Premier League,Temporada2020,Jornada 3,Leicester,4,5,3,2,VISITANTE,1 - 2, 2,3,4,0,0,0,0,2,2,1,2,77,72,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13,2,Sheffield United,8,4,27,73,180,0
Premier League,Temporada2020,Jornada 3,Man. Utd,5,4,6,3,LOCAL,1 - 2,1 ,3,6,0,0,1,0,1,1,1,5,58,84,0,0,1,0,0,0,0,0,0,0,1,0,2,5,0,0,4,4,Crystal Palace,14,1,24,75,185,0
Premier League,Temporada2020,Jornada 3,Burnley,6,4,5,3,VISITANTE,1 - 1, 1,3,4,0,0,0,0,1,1,2,3,76,75,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,10,3,Wolves,12,2,28,76,182,0
Premier League,Temporada2020,Jornada 3,Tottenham,7,4,5,4,LOCAL,0 - 1,0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,Newcastle,18,0,,,,0
