partidos_temporada,partidos_jornada,partidos_fecha,partidos_foto_local,partidos_equipo_local,partidos_resultado,partidos_foto_visitante,partidos_equipo_visitante
Temporada2020,Jornada 1,09 Ago 19,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool,4 - 1,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City
Temporada2020,Jornada 1,10 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham,0 - 5,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City
Temporada2020,Jornada 1,10 Ago 19,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth,1 - 1,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United
Temporada2020,Jornada 1,10 Ago 19,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley,3 - 0,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton
Temporada2020,Jornada 1,10 Ago 19,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace,0 - 0,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton
Temporada2020,Jornada 1,11 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester,0 - 0,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves
Temporada2020,Jornada 1,10 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford,0 - 3,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.
Temporada2020,Jornada 1,10 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham,3 - 1,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa
Temporada2020,Jornada 1,11 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle,0 - 1,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal
Temporada2020,Jornada 1,11 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd,4 - 0,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal,2 - 1,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa,1 - 2,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.,1 - 1,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham
Temporada2020,Jornada 2,18 Ago 19,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea,1 - 1,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton,1 - 0,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City,2 - 2,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City,3 - 1,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle
Temporada2020,Jornada 2,18 Ago 19,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United,1 - 0,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace
Temporada2020,Jornada 2,17 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton,1 - 2,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool
Temporada2020,Jornada 2,19 Ago 19,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves,1 - 1,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd
Temporada2020,Jornada 3,23 Ago 19,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton
Temporada2020,Jornada 3,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth,1 - 3,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City
Temporada2020,Jornada 3,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.,0 - 2,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton
Temporada2020,Jornada 3,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool,3 - 1,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal
Temporada2020,Jornada 3,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd,1 - 2,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace
Temporada2020,Jornada 3,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City,2 - 3,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea
Temporada2020,Jornada 3,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United,1 - 2,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester
Temporada2020,Jornada 3,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham,0 - 1,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle
Temporada2020,Jornada 3,24 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford,1 - 3,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham
Temporada2020,Jornada 3,25 Ago 19,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves,1 - 1,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley
Temporada2020,Jornada 4,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal,2 - 2,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley,0 - 3,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea,2 - 2,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace,1 - 0,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa
Temporada2020,Jornada 4,01 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton,3 - 2,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester,3 - 1,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City,4 - 0,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle,1 - 1,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton,1 - 1,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd
Temporada2020,Jornada 4,31 Ago 19,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City
Temporada2020,Jornada 5,16 Sep 19,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa,0 - 0,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham
Temporada2020,Jornada 5,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth,3 - 1,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.,1 - 1,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool,3 - 1,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City,3 - 2,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United,0 - 1,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham,4 - 0,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace
Temporada2020,Jornada 5,15 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford,2 - 2,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal
Temporada2020,Jornada 5,14 Sep 19,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves,2 - 5,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea
Temporada2020,Jornada 6,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal,3 - 2,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa
Temporada2020,Jornada 6,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City
Temporada2020,Jornada 6,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea,1 - 2,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool
Temporada2020,Jornada 6,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace,1 - 1,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves
Temporada2020,Jornada 6,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton,0 - 2,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United
Temporada2020,Jornada 6,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester,2 - 1,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham
Temporada2020,Jornada 6,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City,8 - 0,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford
Temporada2020,Jornada 6,21 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle,0 - 0,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.
Temporada2020,Jornada 6,20 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton,1 - 3,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth
Temporada2020,Jornada 6,22 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa,2 - 2,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth,2 - 2,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea,2 - 0,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace,2 - 0,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton,1 - 3,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City
Temporada2020,Jornada 7,29 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester,5 - 0,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle
Temporada2020,Jornada 7,30 Sep 19,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd,1 - 1,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United,0 - 1,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham,2 - 1,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton
Temporada2020,Jornada 7,28 Sep 19,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves,2 - 0,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/263.jpg?size=37x&5,Arsenal,1 - 0,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.,3 - 0,https://thumb.resfu.com/img_data/escudos/small/2523.jpg?size=37x&5,Tottenham
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/569.jpg?size=37x&5,Burnley,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1017.jpg?size=37x&5,Everton
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/3845.jpg?size=37x&5,Liverpool,2 - 1,https://thumb.resfu.com/img_data/escudos/small/1538.jpg?size=37x&5,Leicester
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1633.jpg?size=37x&5,Man. City,0 - 2,https://thumb.resfu.com/img_data/escudos/small/5651.jpg?size=37x&5,Wolves
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1796.jpg?size=37x&5,Newcastle,1 - 0,https://thumb.resfu.com/img_data/escudos/small/1635.jpg?size=37x&5,Man. Utd
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City,1 - 5,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa
Temporada2020,Jornada 8,06 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2369.jpg?size=37x&5,Southampton,1 - 4,https://thumb.resfu.com/img_data/escudos/small/752.jpg?size=37x&5,Chelsea
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2743.jpg?size=37x&5,Watford,0 - 0,https://thumb.resfu.com/img_data/escudos/small/9182.jpg?size=37x&5,Sheffield United
Temporada2020,Jornada 8,05 Oct 19,https://thumb.resfu.com/img_data/escudos/small/2804.jpg?size=37x&5,West Ham,1 - 2,https://thumb.resfu.com/img_data/escudos/small/860.jpg?size=37x&5,Crystal Palace
Temporada2020,Jornada 9,19 Oct 19,https://thumb.resfu.com/img_data/escudos/small/297.jpg?size=37x&5,Aston Villa,2 - 1,https://thumb.resfu.com/img_data/escudos/small/5652.jpg?size=37x&5,Brighton Hove A.
Temporada2020,Jornada 9,19 Oct 19,https://thumb.resfu.com/img_data/escudos/small/80.jpg?size=37x&5,AFC Bournemouth,0 - 0,https://thumb.resfu.com/img_data/escudos/small/1824.jpg?size=37x&5,Norwich City
