plantilla_temporada,plantilla_equipo,plantilla_dorsal,plantilla_foto,plantilla_name,plantilla_posicion,plantilla_edad,plantilla_pais,plantilla_altura,plantilla_peso,plantilla_goles,plantilla_rojas,plantilla_amarillas
Temporada2019,Liverpool,13,https://thumb.resfu.com/img_data/players/medium/136376.jpg?size=60x&5,Alisson,Portero,27,https://thumb.resfu.com/media/img/1px.gif,192,91,0,0,1
Temporada2019,Liverpool,22,https://thumb.resfu.com/img_data/players/medium/4462.jpg?size=60x&5,S. Mignolet,Portero,32,https://thumb.resfu.com/media/img/1px.gif,193,87,0,0,0
Temporada2019,Liverpool,26,https://thumb.resfu.com/img_data/players/medium/160714.jpg?size=60x&5,A. Robertson,Defensa,26,https://thumb.resfu.com/media/img/1px.gif,178,64,0,0,4
Temporada2019,Liverpool,18,https://thumb.resfu.com/img_data/players/medium/117235.jpg?size=60x&5,Alberto Moreno,Defensa,27,https://thumb.resfu.com/media/img/1px.gif,171,65,0,0,0
Temporada2019,Liverpool,66,https://thumb.resfu.com/img_data/players/medium/242210.jpg?size=60x&5,Alexander-Arnold,Defensa,21,https://thumb.resfu.com/media/img/1px.gif,175,69,1,0,3
Temporada2019,Liverpool,,https://thumb.resfu.com/img_data/players/medium/248145.jpg?size=60x&5,C. Randall,Defensa,24,https://thumb.resfu.com/media/img/1px.gif,180,76,0,0,0
Temporada2019,Liverpool,6,https://thumb.resfu.com/img_data/players/medium/26966.jpg?size=60x&5,D. Lovren,Defensa,30,https://thumb.resfu.com/media/img/1px.gif,188,86,1,0,1
Temporada2019,Liverpool,12,https://thumb.resfu.com/img_data/players/medium/232599.jpg?size=60x&5,J. Gomez,Defensa,22,https://thumb.resfu.com/media/img/1px.gif,188,77,0,0,2
Temporada2019,Liverpool,32,https://thumb.resfu.com/img_data/players/medium/38741.jpg?size=60x&5,J. Matip,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,195,90,1,0,3
Temporada2019,Liverpool,4,https://thumb.resfu.com/img_data/players/medium/107732.jpg?size=60x&5,V. Van Dijk,Defensa,28,https://thumb.resfu.com/media/img/1px.gif,193,92,4,0,1
Temporada2019,Liverpool,20,https://thumb.resfu.com/img_data/players/medium/69694.jpg?size=60x&5,A. Lallana,Centrocampista,31,https://thumb.resfu.com/media/img/1px.gif,173,73,0,0,1
Temporada2019,Liverpool,21,https://thumb.resfu.com/img_data/players/medium/69699.jpg?size=60x&5,A. Oxlade-Chamberlain,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,180,70,0,0,0
Temporada2019,Liverpool,48,https://thumb.resfu.com/img_data/players/medium/427721.jpg?size=60x&5,C. Jones,Centrocampista,19,https://thumb.resfu.com/media/img/1px.gif,185,-,0,0,0
Temporada2019,Liverpool,3,https://thumb.resfu.com/img_data/players/medium/139208.jpg?size=60x&5,Fabinho,Centrocampista,26,https://thumb.resfu.com/media/img/1px.gif,188,80,1,0,6
Temporada2019,Liverpool,5,https://thumb.resfu.com/img_data/players/medium/1652.jpg?size=60x&5,G. Wijnaldum,Centrocampista,29,https://thumb.resfu.com/media/img/1px.gif,175,69,3,0,3
Temporada2019,Liverpool,14,https://thumb.resfu.com/img_data/players/medium/35943.jpg?size=60x&5,J. Henderson,Centrocampista,29,https://thumb.resfu.com/media/img/1px.gif,184,67,1,1,3
Temporada2019,Liverpool,7,https://thumb.resfu.com/img_data/players/medium/30652.jpg?size=60x&5,J. Milner,Centrocampista,34,https://thumb.resfu.com/media/img/1px.gif,175,70,5,1,7
Temporada2019,Liverpool,8,https://thumb.resfu.com/img_data/players/medium/200795.jpg?size=60x&5,N. Keïta,Centrocampista,25,https://thumb.resfu.com/media/img/1px.gif,172,65,2,0,0
Temporada2019,Liverpool,,https://thumb.resfu.com/img_data/players/medium/319493.jpg?size=60x&5,B. Woodburn,Delantero,20,https://thumb.resfu.com/media/img/1px.gif,174,72,0,0,0
Temporada2019,Liverpool,27,https://thumb.resfu.com/img_data/players/medium/185410.jpg?size=60x&5,D. Origi,Delantero,24,https://thumb.resfu.com/media/img/1px.gif,185,75,3,0,0
Temporada2019,Liverpool,15,https://thumb.resfu.com/img_data/players/medium/602.jpg?size=60x&5,D. Sturridge,Delantero,30,https://thumb.resfu.com/media/img/1px.gif,188,76,2,0,1
