Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_lesion_partido,Titulares_cambio_jornadapasada,y_lambda,exp_lambda
Alavés,Jornada 1,Temporada2017,1,1,0,"0,338019","1,4"
Alavés,Jornada 2,Temporada2017,0,0,4,"0,246718","1,3"
Alavés,Jornada 3,Temporada2017,1,1,1,"0,320924","1,4"
Alavés,Jornada 4,Temporada2017,0,0,1,"0,298003","1,3"
Alavés,Jornada 5,Temporada2017,0,0,4,"0,246718","1,3"
Alavés,Jornada 6,Temporada2017,0,0,3,"0,263813","1,3"
Alavés,Jornada 7,Temporada2017,1,1,1,"0,320924","1,4"
Alavés,Jornada 8,Temporada2017,0,0,4,"0,246718","1,3"
Alavés,Jornada 9,Temporada2017,1,1,2,"0,303829","1,4"
Alavés,Jornada 10,Temporada2017,0,0,4,"0,246718","1,3"
Alavés,Jornada 11,Temporada2017,1,1,3,"0,286734","1,3"
Alavés,Jornada 12,Temporada2017,1,0,3,"0,179709","1,2"
Alavés,Jornada 13,Temporada2017,1,1,4,"0,269639","1,3"
Alavés,Jornada 14,Temporada2017,0,0,2,"0,280908","1,3"
Alavés,Jornada 15,Temporada2017,0,0,5,"0,229623","1,3"
Alavés,Jornada 16,Temporada2017,0,0,2,"0,280908","1,3"
Alavés,Jornada 17,Temporada2017,0,0,2,"0,280908","1,3"
Alavés,Jornada 18,Temporada2017,0,0,3,"0,263813","1,3"
Alavés,Jornada 19,Temporada2017,0,0,2,"0,280908","1,3"
Alavés,Jornada 20,Temporada2017,0,0,3,"0,263813","1,3"
Alavés,Jornada 21,Temporada2017,0,0,9,"0,161243","1,2"
Alavés,Jornada 22,Temporada2017,1,0,3,"0,179709","1,2"
Alavés,Jornada 23,Temporada2017,0,0,7,"0,195433","1,2"
Alavés,Jornada 24,Temporada2017,0,0,1,"0,298003","1,3"
Alavés,Jornada 25,Temporada2017,1,0,7,"0,111329","1,1"
Alavés,Jornada 26,Temporada2017,0,0,6,"0,212528","1,2"
Alavés,Jornada 27,Temporada2017,1,1,1,"0,320924","1,4"
Alavés,Jornada 28,Temporada2017,0,0,3,"0,263813","1,3"
Alavés,Jornada 29,Temporada2017,0,0,3,"0,263813","1,3"
Alavés,Jornada 30,Temporada2017,1,0,9,"0,077139","1,1"
Alavés,Jornada 31,Temporada2017,2,0,7,"0,027224",1
Alavés,Jornada 32,Temporada2017,0,0,2,"0,280908","1,3"
Alavés,Jornada 33,Temporada2017,1,1,1,"0,320924","1,4"
Alavés,Jornada 34,Temporada2017,1,0,2,"0,196804","1,2"
Alavés,Jornada 35,Temporada2017,1,1,9,"0,184164","1,2"
Alavés,Jornada 36,Temporada2017,0,0,9,"0,161243","1,2"
Alavés,Jornada 37,Temporada2017,0,0,6,"0,212528","1,2"
Alavés,Jornada 38,Temporada2017,0,0,7,"0,195433","1,2"
Alavés,Jornada 1,Temporada2018,1,0,0,"0,230994","1,3"
Alavés,Jornada 2,Temporada2018,0,0,2,"0,280908","1,3"
Alavés,Jornada 3,Temporada2018,0,0,4,"0,246718","1,3"
Alavés,Jornada 4,Temporada2018,0,0,4,"0,246718","1,3"
Alavés,Jornada 5,Temporada2018,0,0,5,"0,229623","1,3"
Alavés,Jornada 6,Temporada2018,1,0,0,"0,230994","1,3"
Alavés,Jornada 7,Temporada2018,0,0,2,"0,280908","1,3"
Alavés,Jornada 8,Temporada2018,0,0,0,"0,315098","1,4"
Alavés,Jornada 9,Temporada2018,1,0,2,"0,196804","1,2"
Alavés,Jornada 10,Temporada2018,0,0,3,"0,263813","1,3"
Alavés,Jornada 11,Temporada2018,0,0,1,"0,298003","1,3"
Alavés,Jornada 12,Temporada2018,2,0,2,"0,112699","1,1"
Alavés,Jornada 13,Temporada2018,1,1,5,"0,252544","1,3"
Alavés,Jornada 14,Temporada2018,0,0,4,"0,246718","1,3"
Alavés,Jornada 15,Temporada2018,0,0,3,"0,263813","1,3"
Alavés,Jornada 16,Temporada2018,0,0,0,"0,315098","1,4"
Alavés,Jornada 17,Temporada2018,1,0,0,"0,230994","1,3"
Alavés,Jornada 18,Temporada2018,0,1,0,"0,422124","1,5"
Alavés,Jornada 19,Temporada2018,0,0,3,"0,263813","1,3"
Alavés,Jornada 20,Temporada2018,0,0,2,"0,280908","1,3"
Alavés,Jornada 21,Temporada2018,1,0,6,"0,128424","1,1"
Alavés,Jornada 22,Temporada2018,0,0,6,"0,212528","1,2"
Alavés,Jornada 23,Temporada2018,0,0,4,"0,246718","1,3"
Alavés,Jornada 24,Temporada2018,0,0,3,"0,263813","1,3"
