Equipo,Jornada,Temporada,Cambios_defensa_partido,Cambio_jugador_lesion,Titulares_cambiados_jornada_anterior,Puntos_y,cut1_y,cut2_y
Alavés,Jornada 1,Temporada2017,1,1,0,"-0,5671086","0,142138","0,8464112"
Athletic Bilbao,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Atlético Madrid,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Barcelona,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Celta de Vigo,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Deportivo,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Eibar,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Espanyol,Jornada 1,Temporada2017,2,1,0,"-0,896891","0,4719204","1,1761936"
Granada,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Las Palmas,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Leganés,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Málaga,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Osasuna,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Real Betis,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Madrid,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Real Sociedad,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Real Sporting,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Sevilla,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Valencia,Jornada 1,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Villarreal,Jornada 1,Temporada2017,0,0,0,0,"-0,4249706","0,2793026"
Alavés,Jornada 2,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Athletic Bilbao,Jornada 2,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Atlético Madrid,Jornada 2,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Barcelona,Jornada 2,Temporada2017,1,0,1,"-0,3517471","-0,0732235","0,6310497"
Celta de Vigo,Jornada 2,Temporada2017,1,0,4,"-0,4176412","-0,0073294","0,6969438"
Deportivo,Jornada 2,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Eibar,Jornada 2,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Espanyol,Jornada 2,Temporada2017,0,1,2,"-0,2812556","-0,143715","0,5605582"
Granada,Jornada 2,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Las Palmas,Jornada 2,Temporada2017,0,1,0,"-0,2373262","-0,1876444","0,5166288"
Leganés,Jornada 2,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Málaga,Jornada 2,Temporada2017,1,0,0,"-0,3297824","-0,0951882","0,609085"
Osasuna,Jornada 2,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Real Betis,Jornada 2,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Real Madrid,Jornada 2,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sociedad,Jornada 2,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Real Sporting,Jornada 2,Temporada2017,1,1,0,"-0,5671086","0,142138","0,8464112"
Sevilla,Jornada 2,Temporada2017,1,0,2,"-0,3737118","-0,0512588","0,6530144"
Valencia,Jornada 2,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Villarreal,Jornada 2,Temporada2017,0,1,2,"-0,2812556","-0,143715","0,5605582"
Alavés,Jornada 3,Temporada2017,1,1,1,"-0,5890733","0,1641027","0,8683759"
Athletic Bilbao,Jornada 3,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Atlético Madrid,Jornada 3,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Barcelona,Jornada 3,Temporada2017,0,0,7,"-0,1537529","-0,2712177","0,4330555"
Celta de Vigo,Jornada 3,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Deportivo,Jornada 3,Temporada2017,1,1,4,"-0,6549674","0,2299968","0,93427"
Eibar,Jornada 3,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
Espanyol,Jornada 3,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Granada,Jornada 3,Temporada2017,1,0,5,"-0,4396059","0,0146353","0,7189085"
Las Palmas,Jornada 3,Temporada2017,0,0,2,"-0,0439294","-0,3810412","0,323232"
Leganés,Jornada 3,Temporada2017,1,0,3,"-0,3956765","-0,0292941","0,6749791"
Málaga,Jornada 3,Temporada2017,0,0,4,"-0,0878588","-0,3371118","0,3671614"
Osasuna,Jornada 3,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Betis,Jornada 3,Temporada2017,0,1,2,"-0,2812556","-0,143715","0,5605582"
Real Madrid,Jornada 3,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Real Sociedad,Jornada 3,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Real Sporting,Jornada 3,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Sevilla,Jornada 3,Temporada2017,0,0,5,"-0,1098235","-0,3151471","0,3891261"
Valencia,Jornada 3,Temporada2017,1,1,3,"-0,6330027","0,2080321","0,9123053"
Villarreal,Jornada 3,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Alavés,Jornada 4,Temporada2017,0,0,1,"-0,0219647","-0,4030059","0,3012673"
Athletic Bilbao,Jornada 4,Temporada2017,1,1,2,"-0,611038","0,1860674","0,8903406"
Atlético Madrid,Jornada 4,Temporada2017,0,0,3,"-0,0658941","-0,3590765","0,3451967"
