Liga,Temporada,Jornada,Equipo,Cambios realizados partido,Cambio lesion jornada anterior,,
Bundesliga,Temporada2020,Jornada 1,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 1,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 1,Bayern München,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 1,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 1,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 1,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 2,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 2,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 2,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 2,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 3,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 3,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 3,Werder Bremen,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 3,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 3,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Wolfsburg,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 4,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 4,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 4,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 4,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 4,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,SC Freiburg,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 5,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 5,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 5,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 5,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 5,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,SC Freiburg,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 6,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 6,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 6,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 6,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 6,Köln,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 6,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 7,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Bayern München,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 7,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Schalke 04,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 7,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,B. Dortmund,2,0,"0,0890494","1,0931346558"
Bundesliga,Temporada2020,Jornada 7,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 7,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 7,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 7,Köln,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 7,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 8,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Bayern München,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,B. Dortmund,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,RB Leipzig,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Schalke 04,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Eintracht,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 8,B. Leverkusen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Hertha BSC,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Hoffenheim,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Werder Bremen,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Fortuna,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 8,Union Berlin,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Köln,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,FC Augsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Mainz 05,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 8,Paderborn,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Monchengladbach,0,0,"-0,4672722","0,6267094769"
Bundesliga,Temporada2020,Jornada 9,Bayern München,3,1,"0,5083582","1,662559363"
Bundesliga,Temporada2020,Jornada 9,SC Freiburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,Wolfsburg,3,0,"0,3672102","1,4437013532"
Bundesliga,Temporada2020,Jornada 9,B. Dortmund,3,0,"0,3672102","1,4437013532"
