Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,PUNTOS Y,CUT 1 ,CUT 2
Bundesliga,Temporada2020,Jornada 1,B. Dortmund,1,0,0,"-0,1380079","0,0279334","0,6405451"
Bundesliga,Temporada2020,Jornada 1,RB Leipzig,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,SC Freiburg,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Fortuna,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,B. Leverkusen,1,0,0,"-0,1380079","0,0279334","0,6405451"
Bundesliga,Temporada2020,Jornada 1,Wolfsburg,1,0,0,"-0,1380079","0,0279334","0,6405451"
Bundesliga,Temporada2020,Jornada 1,Eintracht,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Bayern München,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Hertha BSC,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Monchengladbach,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Schalke 04,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Paderborn,1,0,0,"-0,1380079","0,0279334","0,6405451"
Bundesliga,Temporada2020,Jornada 1,Köln,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Hoffenheim,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Werder Bremen,2,0,0,"-0,2760158","0,1659413","0,778553"
Bundesliga,Temporada2020,Jornada 1,Mainz 05,1,0,0,"-0,1380079","0,0279334","0,6405451"
Bundesliga,Temporada2020,Jornada 1,FC Augsburg,0,0,0,0,"-0,1100745","0,5025372"
Bundesliga,Temporada2020,Jornada 1,Union Berlin,0,0,0,0,"-0,1100745","0,5025372"
