Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,y lambda,explambda
La Liga Santander,Temporada2020,Jornada 1,Real Madrid,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Sevilla,1,1,0,"0,3380194","1,4021677052"
La Liga Santander,Temporada2020,Jornada 1,Real Mallorca,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Real Valladolid,1,1,0,"0,3380194","1,4021677052"
La Liga Santander,Temporada2020,Jornada 1,Alavés,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Athletic Bilbao,1,0,0,"0,2309936","1,2598511764"
La Liga Santander,Temporada2020,Jornada 1,Atlético Madrid,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Osasuna,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Granada,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Villarreal,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Real Sociedad,2,0,0,"0,146889","1,1582253929"
La Liga Santander,Temporada2020,Jornada 1,Valencia,1,0,0,"0,2309936","1,2598511764"
La Liga Santander,Temporada2020,Jornada 1,Eibar,1,0,0,"0,2309936","1,2598511764"
La Liga Santander,Temporada2020,Jornada 1,Real Betis,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Barcelona,0,1,0,"0,422124","1,5251976375"
La Liga Santander,Temporada2020,Jornada 1,Getafe,1,0,0,"0,2309936","1,2598511764"
La Liga Santander,Temporada2020,Jornada 1,Leganés,2,0,0,"0,146889","1,1582253929"
La Liga Santander,Temporada2020,Jornada 1,Levante,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Celta de Vigo,0,0,0,"0,3150982","1,370393877"
La Liga Santander,Temporada2020,Jornada 1,Espanyol,0,0,0,"0,3150982","1,370393877"
