Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,PUNTOS Y,CUT1 Y,CUT2 Y
La Liga Santander,Temporada2020,Jornada 1,Real Madrid,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Sevilla,1,1,0,"-0,5671086","0,142138","0,8464112"
La Liga Santander,Temporada2020,Jornada 1,Real Mallorca,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Real Valladolid,1,1,0,"-0,5671086","0,142138","0,8464112"
La Liga Santander,Temporada2020,Jornada 1,Alavés,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Athletic Bilbao,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 1,Atlético Madrid,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Osasuna,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Granada,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Villarreal,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Real Sociedad,2,0,0,"-0,6595648","0,2345942","0,9388674"
La Liga Santander,Temporada2020,Jornada 1,Valencia,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 1,Eibar,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 1,Real Betis,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Barcelona,0,1,0,"-0,2373262","-0,1876444","0,5166288"
La Liga Santander,Temporada2020,Jornada 1,Getafe,1,0,0,"-0,3297824","-0,0951882","0,609085"
La Liga Santander,Temporada2020,Jornada 1,Leganés,2,0,0,"-0,6595648","0,2345942","0,9388674"
La Liga Santander,Temporada2020,Jornada 1,Levante,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Celta de Vigo,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 1,Espanyol,0,0,0,0,"-0,4249706","0,2793026"
La Liga Santander,Temporada2020,Jornada 2,Sevilla,1,1,1,"-0,5890733","0,1641027","0,8683759"
La Liga Santander,Temporada2020,Jornada 2,Atlético Madrid,1,0,1,"-0,3517471","-0,0732235","0,6310497"
