Liga,Temporada,Jornada,Equipo,Cambios realizados delantero partido,Media minuto cambio partido,Cambio amarilla jornada anterior,Y LAMBDA,EXP LAMBDA
Premier League,Temporada2020,Jornada 1,Man. City,1,76,0,"0,2521059","1,286732295"
Premier League,Temporada2020,Jornada 1,Man. Utd,2,82,0,"0,3992468","1,4907014783"
Premier League,Temporada2020,Jornada 1,Liverpool,2,66,0,"0,2020772","1,2239424928"
Premier League,Temporada2020,Jornada 1,Brighton Hove A.,0,0,0,"-0,757652","0,4687657979"
Premier League,Temporada2020,Jornada 1,Burnley,1,84,0,"0,3506907","1,4200480371"
Premier League,Temporada2020,Jornada 1,Tottenham,0,0,0,"-0,757652","0,4687657979"
Premier League,Temporada2020,Jornada 1,Arsenal,1,73,0,"0,2151366","1,2400312737"
Premier League,Temporada2020,Jornada 1,AFC Bournemouth,1,90,0,"0,4246293","1,5290235056"
Premier League,Temporada2020,Jornada 1,Sheffield United,1,74,0,"0,2274597","1,2554068458"
Premier League,Temporada2020,Jornada 1,Crystal Palace,2,74,0,"0,300662","1,35075271"
Premier League,Temporada2020,Jornada 1,Everton,1,64,0,"0,1042287","1,1098542496"
Premier League,Temporada2020,Jornada 1,Leicester,1,68,0,"0,1535211","1,165932388"
Premier League,Temporada2020,Jornada 1,Wolves,1,78,0,"0,2767521","1,3188393902"
Premier League,Temporada2020,Jornada 1,Newcastle,0,60,0,"-0,018266","0,9818998123"
Premier League,Temporada2020,Jornada 1,Aston Villa,2,71,0,"0,2636927","1,3017281138"
Premier League,Temporada2020,Jornada 1,Norwich City,1,70,0,"0,1781673","1,1950252322"
Premier League,Temporada2020,Jornada 1,Southampton,2,70,0,"0,2513696","1,2857852227"
Premier League,Temporada2020,Jornada 1,Watford,2,60,0,"0,1281386","1,1367105399"
Premier League,Temporada2020,Jornada 1,Chelsea,1,65,0,"0,1165518","1,1236157123"
Premier League,Temporada2020,Jornada 1,West Ham,2,56,0,"0,0788462","1,0820378918"
Premier League,Temporada2020,Jornada 2,Liverpool,1,80,0,"0,3013983","1,3517476354"
Premier League,Temporada2020,Jornada 2,Arsenal,2,66,1,"0,2886231","1,3345886273"
