Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Cambio goleador jornada anterior,PUNTOS Y,CUT 1,CUT 2
Premier League,Temporada2020,Jornada 1,Man. City,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Man. Utd,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Liverpool,0,1,0,"-0,1571044","0,0467861","0,6345712"
Premier League,Temporada2020,Jornada 1,Brighton Hove A.,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Burnley,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Tottenham,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Arsenal,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,AFC Bournemouth,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Sheffield United,1,0,0,"-0,1639788","0,0536605","0,6414456"
Premier League,Temporada2020,Jornada 1,Crystal Palace,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Everton,0,1,0,"-0,1571044","0,0467861","0,6345712"
Premier League,Temporada2020,Jornada 1,Leicester,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Wolves,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Newcastle,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Aston Villa,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Norwich City,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Southampton,1,0,0,"-0,1639788","0,0536605","0,6414456"
Premier League,Temporada2020,Jornada 1,Watford,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,Chelsea,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 1,West Ham,0,1,0,"-0,1571044","0,0467861","0,6345712"
Premier League,Temporada2020,Jornada 2,Liverpool,0,0,1,"0,0825046","-0,1928229","0,3949622"
Premier League,Temporada2020,Jornada 2,Arsenal,0,0,1,"0,0825046","-0,1928229","0,3949622"
Premier League,Temporada2020,Jornada 2,Man. City,0,0,1,"0,0825046","-0,1928229","0,3949622"
Premier League,Temporada2020,Jornada 2,Man. Utd,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 2,Brighton Hove A.,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 2,Tottenham,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 2,AFC Bournemouth,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 2,Sheffield United,0,1,0,"-0,1571044","0,0467861","0,6345712"
Premier League,Temporada2020,Jornada 2,Everton,1,0,1,"-0,0814742","-0,0288441","0,558941"
Premier League,Temporada2020,Jornada 2,Burnley,0,0,0,0,"-0,1103183","0,4774668"
Premier League,Temporada2020,Jornada 2,Norwich City,1,0,0,"-0,1639788","0,0536605","0,6414456"
