Liga,Temporada,Jornada,Equipo,Cambios realizados portero partido,Cambios realizados centrocampista partido,Cambios realizados delantero partido,Y LAMBDA,EXP LAMBDA
Serie A,Temporada2020,Jornada 1,Inter,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 1,Lazio,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 1,Napoli,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 1,Atalanta,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 1,Torino,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 1,Brescia,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 1,Juventus,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 1,Udinese,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 1,Genoa,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 1,Roma,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 1,Bologna,0,0,2,"0,2410934","1,2726398943"
Serie A,Temporada2020,Jornada 1,Hellas Verona,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 1,Fiorentina,0,1,2,"0,2788138","1,3215612463"
Serie A,Temporada2020,Jornada 1,SPAL,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 1,Sassuolo,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 1,Cagliari,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 1,Milan,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 1,Parma,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 1,Sampdoria,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 1,Lecce,0,1,0,"0,1357188","1,1453597731"
Serie A,Temporada2020,Jornada 2,Inter,0,2,1,"0,2449867","1,277604321"
Serie A,Temporada2020,Jornada 2,Juventus,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Torino,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Lazio,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 2,Genoa,0,0,1,"0,1695459","1,1847667266"
Serie A,Temporada2020,Jornada 2,Bologna,0,2,0,"0,1734392","1,1893883698"
Serie A,Temporada2020,Jornada 2,Hellas Verona,0,0,0,"0,0979984","1,1029610204"
Serie A,Temporada2020,Jornada 2,Sassuolo,0,1,1,"0,2072663","1,2303101598"
Serie A,Temporada2020,Jornada 2,Parma,0,1,1,"0,2072663","1,2303101598"
