Liga,Temporada,Jornada,Equipo,Cambios realizados defensa partido,Cambio jugador lesion partido,Titulares cambiados respecto jornada anterior,,,
Serie A,Temporada2020,Jornada 1,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Lazio,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 1,Napoli,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 1,Atalanta,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Torino,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 1,Brescia,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Juventus,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Udinese,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Genoa,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 1,Roma,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 1,Bologna,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Hellas Verona,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Fiorentina,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,SPAL,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Sassuolo,2,0,0,"-0,0868786","0,127241","0,7178584"
Serie A,Temporada2020,Jornada 1,Cagliari,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Milan,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Parma,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Sampdoria,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 1,Lecce,1,0,0,"-0,0434393","0,0838017","0,6744191"
Serie A,Temporada2020,Jornada 2,Inter,0,0,0,0,"0,0403624","0,6309798"
Serie A,Temporada2020,Jornada 2,Juventus,1,1,1,"-0,2662949","0,3066573","0,8972747"
Serie A,Temporada2020,Jornada 2,Torino,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 2,Lazio,1,1,1,"-0,2662949","0,3066573","0,8972747"
Serie A,Temporada2020,Jornada 2,Genoa,2,0,0,"-0,0868786","0,127241","0,7178584"
Serie A,Temporada2020,Jornada 2,Bologna,0,0,2,"0,0873932","-0,0470308","0,5435866"
Serie A,Temporada2020,Jornada 2,Hellas Verona,1,0,2,"0,0439539","-0,0035915","0,5870259"
Serie A,Temporada2020,Jornada 2,Sassuolo,0,0,4,"0,1747864","-0,134424","0,4561934"
Serie A,Temporada2020,Jornada 2,Parma,1,0,1,"0,0002573","0,0401051","0,6307225"
